TA100,TA100_S9,TA1535,TA1535_S9,TA97,TA97_S9,TA98,TA98_S9,TA1537,TA1537_S9,TA102,TA102_S9,standardised_smiles,CAS
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,BrC(Br)Br,['75-25-2']
0.0,1.0,,,1.0,1.0,0.0,1.0,,,,,BrC(Br)C(Br)Br,['79-27-6']
0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,BrC1CC(Br)CC(Br)CC(Br)CC(Br)CC(Br)C1,['25637-99-4']
1.0,1.0,,,0.0,1.0,1.0,1.0,,,,,BrC=CBr,['540-49-8']
1.0,1.0,,,0.0,1.0,1.0,1.0,,,,,BrCBr,['74-95-3']
0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,BrCC(Br)C1CCC(Br)C(Br)C1,['3322-93-8']
,,,,,,,,,,,,BrCC(Br)CBr,['96-11-7']
1.0,,,,,,,,,,,,BrCC(Br)c1ccccc1,['93-52-7']
1.0,1.0,1.0,1.0,,,,,,,,,BrCC1CO1,['3132-64-7']
1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,,,0.0,,BrCCBr,['106-93-4']
0.0,1.0,,,0.0,0.0,,,,,,,BrCCC(Br)Br,['23511-78-6']
0.0,0.0,1.0,1.0,,,0.0,0.0,0.0,0.0,,,BrCCCBr,['109-64-8']
0.0,,1.0,1.0,,,0.0,0.0,0.0,0.0,,,BrCCCCBr,['110-52-1']
0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,BrCCCCCBr,['111-24-0']
0.0,,,,,,1.0,,,,,,BrCc1c2cccc3ccc4cc5cccc6ccc1c(c65)c4c32,['105708-74-5']
1.0,,,,,,1.0,,,,,,BrCc1c2ccccc2c2ccc3cccc4ccc1c2c43,['49852-85-9']
1.0,,,,,,1.0,,,,,,BrCc1c2ccccc2cc2c1ccc1ccccc12,['24961-39-5']
1.0,,,,,,1.0,,,,,,BrCc1c2ccccc2cc2ccc3ccccc3c12,['78533-30-9']
1.0,,,,,,1.0,,,,,,BrCc1c2ccccc2cc2ccccc12,['2417-77-8']
1.0,,,,,,1.0,,,,,,BrCc1cc2c3c(cccc3c1)-c1ccccc1-2,['88746-58-1']
0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,BrCc1ccc(Br)cc1,['589-15-1']
0.0,,,,,,0.0,,,,,,BrCc1ccc(CBr)cc1,['623-24-5']
1.0,,,,,,1.0,,,,,,BrCc1ccc2c(c1)-c1cccc3cccc-2c13,['126831-76-3']
1.0,,,,,,1.0,,,,,,BrCc1ccc2c3c(cccc13)-c1ccccc1-2,['135294-98-3']
1.0,,,,,,1.0,,,,,,BrCc1ccc2cccc3c2c1-c1ccccc1-3,['135325-62-1']
0.0,,,,,,0.0,,,,,,BrCc1cccc(CBr)c1,['626-15-3']
1.0,,,,,,1.0,,,,,,BrCc1cccc2c1-c1cccc3cccc-2c13,['77061-07-5']
1.0,0.0,,,,,0.0,0.0,,,,,BrCc1ccccc1,['100-39-0']
0.0,,,,,,0.0,,,,,,BrCc1ccccc1CBr,['91-13-4']
0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,Brc1c(Br)c(Br)c(Br)c(Br)c1Br,['87-82-1']
0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,Brc1c(Br)c(Br)c(Oc2c(Br)c(Br)c(Br)c(Br)c2Br)c(Br)c1Br,['1163-19-5']
,1.0,,,,,,,,,,,Brc1c2ccccc2cc2c1ccc1ccccc12,['32795-84-9']
0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,Brc1cc(Br)c(OCCOc2c(Br)cc(Br)cc2Br)c(Br)c1,['37853-59-1']
0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,Brc1ccc(-c2ccc(Br)c(Br)c2Br)c(Br)c1Br,['36355-01-8']
0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,Brc1ccc(-c2ccccc2)cc1,['92-66-0']
1.0,,,,,,,,,,,,Brc1ccc(CN2C3c4ccccc4-c4ccccc4C32)cc1,['126420-93-7']
0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,Brc1ccc(Oc2cc(Br)c(Br)cc2Br)c(Br)c1,['32534-81-9']
0.0,,,,,,0.0,,,,,,Brc1ccc2c(c1)C1OC1C1CCCCC21,"['118354-49-7', '118326-92-4']"
,0.0,,,,,,0.0,,,,,Brc1ccc2c(c1)C=CC1CCCCC21,['118326-90-2']
0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,Brc1cccc(-c2ccccc2)c1,['2113-57-7']
0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,Brc1ccccc1,['108-86-1']
0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,Brc1ccccc1-c1ccccc1,['2052-07-5']
