Molecule Name,NR-AR,NR-AR-LBD,NR-AhR,NR-ER,NR-ER-LBD,NR-PPAR-gamma,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53,NR-Aromatase,Smiles,source
NCGC00260825,0.0,0.0,0.0,1.0,0.0,,,,0.0,,0.0,1.0,Brc(c(Br)c1Br)c2[nH]cnc2c1Br,test
NCGC00261559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C(C(C1)N(CC2)CCN2c2cccc3c2OCCO3)c2c1cccc2,test
NCGC00261552,0.0,,0.0,,0.0,0.0,,0.0,0.0,,,,C(CNC(c1ccccc1)c1ccccc1)NC(c1ccccc1)c1ccccc1.Cl.Cl,test
NCGC00261202,0.0,,1.0,0.0,,,1.0,0.0,,1.0,,0.0,C(C[C@H]1Nc2nc(cccc3)c3[nH]2)Cc2c1cccc2.Cl,test
NCGC00261245,0.0,0.0,0.0,,0.0,0.0,,,,,,,C(Cc1ccccc1)CN1CCN(CCOC(c2ccccc2)c2ccccc2)CC1.Cl.Cl,test
NCGC00261763,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,C/N=C(/N=C1c2ccccc2)\SN1c1ccccc1.Br,test
NCGC00261077,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,,0.0,1.0,C=CCN(CC1)C[C@@H](c2ccccc2)c(cc2O)c1c(Cl)c2O.Br,test
NCGC00260901,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,C=CCN(CC1)C[C@H](c2ccccc2)c(cc2O)c1c(Br)c2O.Br,test
NCGC00260922,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,,,1.0,,CC(/C=C(/c(cccc1)c1N1C)\C1=O)=O,test
NCGC00261960,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CC(C(N1C)=O)=C(NCCCN(CC2)CCN2c(cccc2)c2OC)N(C)C1=O,test
NCGC00261346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,CC(C(c(cc1)ccc1O)O)N1CCC(Cc2ccccc2)CC1.CC(C(c(cc1)ccc1O)O)N1CCC(Cc2ccccc2)CC1.OC(C(C(O)=O)O)C(O)=O,test
NCGC00261783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CC(C)(C)NCC(c(cc1)cc(CO)c1O)O.CC(C)(C)NCC(c(cc1)cc(CO)c1O)O.OS(O)(=O)=O,test
NCGC00260868,0.0,,,1.0,0.0,1.0,1.0,0.0,1.0,,0.0,,CC(C)(C)c(cc1)ccc1S(/C=C/C#N)(=O)=O,test
NCGC00260824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CC(C)(C)c1c(C[C@@H](C(O)=O)N)c(O)no1,test
NCGC00260777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CC(C)(C)c1c(C[C@@H](C(O)=O)N)c(OCP(O)(O)=O)no1,test
NCGC00260864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,CC(C)(C)c1cc(CC(C)(C)C=O)cc(C(C)(C)C)c1O,test
NCGC00260854,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,,1.0,,,CC(C)(C)c1cc(CC(C)(C)CO)cc(C(C)(C)C)c1O,test
NCGC00261402,0.0,,0.0,,0.0,0.0,,,0.0,1.0,0.0,,CC(C)(CC1)OC(c(cccc2)c2C2=O)=C1C2=O,test
NCGC00260828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CC(C)(CC1=O)C(/C=C/C(/C)=C/C=C/C(/C)=C\C=C\C=C(\C)/C=C/C=C(\C)/C=C/C(C(C)(C)CC2=O)=C(C)C2O)=C(C)C1O,test
NCGC00261453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CC(C)(CCP(O)(O)=O)C(O)=O.Cl,test
NCGC00260900,0.0,,,0.0,0.0,,1.0,,0.0,,0.0,,CC(C)([C@@H](CCC1)C[C@]1(C)NCC(COc1c(CC=C)cccc1)O)NC(CBr)=O,test
NCGC00261777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CC(C)CC(C(NC(Cc1c[nH]c2c1cccc2)C([O-])=O)=O)NP([O-])(O[C@@H]([C@@H]([C@@H]1O)O)O[C@@H](C)[C@@H]1O)=O.[Na+].[Na+],test
NCGC00261467,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,CC(C)CCCCCCC(NCc(cc1)cc(OC)c1O)=O,test
NCGC00261449,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CC(C)CN(c1c(C(N2C)=O)nc(COC)[nH]1)C2=O,test
NCGC00261961,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,CC(C)Oc1c(N(C)C2CCN(Cc3ccccc3)CC2)nccc1.OC(/C=C\C(O)=O)=O,test
NCGC00261415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CC(C)[C@@H](C(N[C@@H](Cc1ccccc1)C=O)=O)NC(OCc1ccccc1)=O,test
NCGC00261228,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CC(C)[C@H](CC[C@@H](C)C1)[C@H]1P(c1ccccc1)(c1ccccc1)=O,test
NCGC00261457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,CC(C)[C@H](COc1c(C)cccc1C)N.I,test
NCGC00261275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CC(C)[N+](C)(C(CC1)C2)C1CC2C(OC(CO)c1ccccc1)=O.[Br-],test
NCGC00261459,0.0,,0.0,0.0,0.0,,1.0,0.0,,,,0.0,CC(C)c(cc1)cc2c1n(Cc(cc1)ccc1Cl)c(CC(C)(C)C([O-])=O)c2SC(C)(C)C.[Na+],test
NCGC00261345,0.0,,,0.0,0.0,,1.0,,,1.0,0.0,,CC(C)c1c(C[C@@](CCN(C)CCCc2nc(cccc3)c3[nH]2)(CC2)OC(C3CC3)=O)c2cc(F)c1.Cl.Cl,test
NCGC00260882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CC(Cc(cc1)ccc1OCC([O-])=O)NCC(c1cccc(Cl)c1)O.[Na+],test
NCGC00261316,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CC(Cc1c2)=NN=C(c(cc3)ccc3N)c1cc1c2OCO1.Cl,test
NCGC00261466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CC(NCCC(c1c(CN=O)ccc(OC)c1)=O)=O,test
NCGC00260863,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,CC(NCCc(c1c2)c[nH]c1cc(Cl)c2OC)=O,test
NCGC00260729,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,CC(NCCc1c[nH]c(cc2)c1cc2O)=O,test
NCGC00260786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CC(NCCc1c[nH]c2c1cccc2)=O,test
NCGC00261518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CC(Nc(c1c2)cc(Cl)c2S(ON)=O)N(c2c(C)cccc2)C1=O,test
NCGC00261462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CC(O)=O.CSC(NCCC[C@@H](C(O)=O)N)=N,test
NCGC00260966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CC(OCC(CS[C@@H]1[C@@H]2NC(CCC[C@H](C([O-])=O)N)=O)=C(C([O-])=O)N1C2=O)=O.[Zn+2],test
NCGC00261035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CC1(C)[N+]([O-])=CCC1,test
NCGC00260810,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,CCCCC#Cc1nc(NC)c2ncn([C@@H](C3O)O[C@H](CO)[C@H]3O)c2n1,test
NCGC00261743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,0.0,,CCCCCCCC/C=C\CCCCCCCC(NCCc(cc1)cc(O)c1O)=O,test
NCGC00261801,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,CCCCCCCCCCCCCCCCCC(O[C@@H](CC(O)=O)C[N+](C)(C)C)=O.[Cl-],test
NCGC00261138,1.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,1.0,CCCCCCN(CCCCCC)C(Cc1c(-c(cc2)ccc2F)[nH]c2c1cccc2)=O,test
NCGC00260695,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,CCCCC[C@H](CC(NO)=O)C(N[C@@H](C(C)C)C(N1[C@H](CO)CCC1)=O)=O,test
