Structure [idcode]	Molecule Name	Formula	FW	DSSTox_CID	SR-HSE	NR-AR	SR-ARE	NR-Aromatase	NR-ER-LBD	NR-AhR	SR-MMP	NR-ER	NR-PPAR-gamma	SR-p53	SR-ATAD5	NR-AR-LBD	Smiles	
gC`LAbKDvHduP@	NCGC00257743-01	CHBr3	252.7306	1374	0	0	0	0	0	0	0	0	0	0	0	0	BrC(Br)Br	
gNpJAbKDvI\QxfQRFUU@@	NCGC00258125-01	C2HBr5	424.5493	5830		0			0		0	0	0	1	0	0	BrC(C(Br)(Br)Br)Br	
gGPBAbKDNI\QInjh@	NCGC00257918-01	C2H2Br4	345.6533	6083	0	0	0	0	0		0	0	0	0	0	0	BrC(C(Br)Br)Br	
fdi@A`@XaLQVH[D]bAqDfYuYn{tZjjjjj`@@	NCGC00258953-01	C12H18Br6	641.6953	7527		0	1			0	1				0	0	BrC(CCC(C(CCC(C(CC1)Br)Br)Br)Br)C1Br	
fdi@A`@XaLQVH[D]bAqDfYuYn{tZjjjjj`@@	NCGC00257050-01	C12H18Br6	641.6953	7527		0			0	0	1		0		0	0	BrC(CCC(C(CCC(C(CC1)Br)Br)Br)Br)C1Br	
gGPDAbWDRUZZDT@	NCGC00260276-01	C4H6Br2	213.8984	4941	0	0		0	0	0	0	0	0	0	0	0	BrC/C=C/CBr	
eMACD\QIh@	NCGC00257964-01	CH2Br2	173.8346	1557	0	0	0	0	0	0	0	0	0	0	0	0	BrCBr	
gGPBAbKDvI\SHiCUP@	NCGC00258739-01	C2H2Br4	345.6533	6082	1	0			0	0		0	0	1		0	BrCC(Br)(Br)Br	
dcL@H@qBqIqMqDfYwmnjjjj@@	NCGC00258523-01	C8H12Br4	427.7969	4947	0	1		0	0	0	1	0	0	0	0	0	BrCC(C(CCC1Br)CC1Br)Br	
gC`DAb[DRVh@	NCGC00258978-01	C2H4Br2	187.8612	415	0	0	0	0		0	0	0	0	0	0	0	BrCCBr	
gC`DAb[DRVh@	NCGC00256607-01	C2H4Br2	187.8612	415	0	0	0		0	0	0	0	0	0	0	0	BrCCBr	
gJPDAbGDRUj`@	NCGC00260264-01	C3H6Br2	201.8877	1902	0	0	0	0	0	0	0	0	0	0	0	0	BrCCCBr	
gGPDAbWDRUZj@@	NCGC00254971-01	C4H8Br2	215.9143	24364	0	0	1	0	0	0	0	0	0	0	0	0	BrCCCCBr	
gNpDAbODRUVjh@	NCGC00260266-01	C5H10Br2	229.9409	29354	0	0	0	0	0	0	0	0	0	0	0	0	BrCCCCCBr	
dax@P@qNqDeUZjh@@	NCGC00255958-01	C6H12Br2	243.9675	24452	0	0		0	0	0	0	0	0	0	0	0	BrCCCCCCBr	
deTH`LCDRUYTYj`@@@	NCGC00260395-01	C8H9BrO	201.0605	29278	0	0	0	0	0	0	0	0	0	0	0	0	BrCCOc1ccccc1	
did@`@qDeYWaj@@@@	NCGC00257656-01	C8H9Br	185.0611	13876	0	0		0	0			0	0	0	0	0	BrCCc1ccccc1	
gKQHLLQI[Fjhj@@	NCGC00260155-01	C3H5BrO	136.9752	5237	0	0	0	0	0	0		0	0	0	0	0	BrC[C@@H]1OC1	
did@P@qAqDfUvf`@h@@	NCGC00255915-01	C7H6Br2	249.9305	24445	0	0	0	0	0	0	0	0	0	0	0		BrCc(cc1)ccc1Br	
foAAB@N@qDee[yU`kNh@b@@@@@	NCGC00255322-01	C13H11BrO	263.1298	8022	0	0		0		0		1	0	0	0	0	BrCc1cc(Oc2ccccc2)ccc1	
daD@`@qDeeVz`@@@	NCGC00257572-01	C7H7Br	171.0345	4658	0	0	0	0	0	0	0		0	0	0	0	BrCc1ccccc1	
dcL@X@qBqFqAqEqMqDfYni`bHh@@	NCGC00260548-01	C6Br6	551.4882	4128	0	1	0	0	0	0	0	0	0	0	0	0	Brc(c(Br)c(c(Br)c1Br)Br)c1Br	
fjmA@PE@qBXcLPVH{DcbYqBxfQQQSSEQQZK\dELDQEAAE@@@	NCGC00257866-01	C12H2Br8O	801.3757	4236		0	0	0	0	0	0	0	0	0	0	0	Brc(c(Br)c1Br)cc(Oc(cc(c(Br)c2Br)Br)c2Br)c1Br	
fjmA@PE@qBXcLPVH{DcbYqBxfQQQSSEQQZK\dELDQEAAE@@@	NCGC00256700-01	C12H2Br8O	801.3757	4236	0	0	0	0	0	0	0	0	0	0	0	0	Brc(c(Br)c1Br)cc(Oc(cc(c(Br)c2Br)Br)c2Br)c1Br	
f`i@A@@XelQIfYeUvBTxwh@@@H@@@@	NCGC00260469-01	C14H8Br2	336.0213	29268	1	0	1	0		0		0	1	1	0		Brc(c1ccccc11)c(cccc2)c2c1Br	
fhyhB@BLeYpLSHhhheEcLnJd[pX@`BFhH@@	NCGC00016069-13	C11H10BrN5	292.1346	25221	0		0										Brc(c1nccnc1cc1)c1NC1=NCCN1	
fhyhB@BLeYpLSHhhheEcLnJd[pX@`BFhH@@	NCGC00016069-09	C11H10BrN5	292.1346	25221		0		0	0	0		0	0	0	0	0	Brc(c1nccnc1cc1)c1NC1=NCCN1	
fleAA`I@qBX`lRvIGDSbILsklsjsg`pPEPPE@@@	NCGC00260018-01	C12H4Br6O	643.5836	10047	0	0	0	0	0	0		0	0	0	0	0	Brc(cc(c(Br)c1)Br)c1Oc(c(Br)c1)cc(Br)c1Br	
did@p@qBqAqDfYun``H@@	NCGC00259411-01	C6H3Br3	314.8000	4346	0	0		0	0	0		0	0	0	0	0	Brc(cc1)cc(Br)c1Br	
did@p@qBqAqDfYun``H@@	NCGC00257054-01	C6H3Br3	314.8000	4346	0	0	0	0	0	0		0	0	0	0	0	Brc(cc1)cc(Br)c1Br	
fdyAB`I@qBX`lRvIGDRYgWYgv\|FB@jB@`@@	NCGC00257710-01	C12H5Br5O	564.6875	4246	0		0	0	0		1	0	0	0	0	0	Brc(cc1)cc(Br)c1Oc(c(Br)c1)cc(Br)c1Br	
fdyAB`I@qBX`lRvIGDRYgWYgv\|FB@jB@`@@	NCGC00258695-01	C12H5Br5O	564.6875	4246	0	0	0		0	1	1	1	0	0	0	0	Brc(cc1)cc(Br)c1Oc(c(Br)c1)cc(Br)c1Br	
fhiA@`B@qIXalPNIdTTRRTLVsAN}AADDA@@@	NCGC00257881-01	C12H6Br4O	485.7914	10056	0	0	0		0		1	1	0	0	0	0	Brc(cc1)cc(Br)c1Oc(ccc(Br)c1)c1Br	
dk\@`@qDfUvUimN@B@@@@	NCGC00257808-01	C12H9Br	233.1039	4640	0	0	0	0	0	0	0	0	0	0	0	0	Brc(cc1)ccc1-c1ccccc1	
daD@P@qNqDfUzZ@B@@	NCGC00257201-01	C6H4Br2	235.9040	4012		0	0	0	0		0	0	0	0	0	0	Brc(cc1)ccc1Br	
daD@P@qNqDfUzZ@B@@	NCGC00258840-01	C6H4Br2	235.9040	4012	0	0	0	0	0	0	0	0	0	0	0	0	Brc(cc1)ccc1Br	
foAAA@N@qGXbSJzroQakP@T@D@@@	NCGC00257049-01	C12H8Br2O	327.9993	4015	0	0	0	0	0	0	1	0	0	0	0	0	Brc(cc1)ccc1Oc(cc1)ccc1Br	
foAAA@N@qGXbSJzroQakP@T@D@@@	NCGC00259582-01	C12H8Br2O	327.9993	4015	0	0	0	0	0	0	1	0	0	0	0	0	Brc(cc1)ccc1Oc(cc1)ccc1Br	
dg|H`NCDRYWVUicn@B`@@@@	NCGC00258821-01	C12H9BrO	249.1033	3927		0	0		0	0		0	0	0	0	0	Brc(cc1)ccc1Oc1ccccc1	
dg|H`NCDRYWVUicn@B`@@@@	NCGC00254405-01	C12H9BrO	249.1033	3927	0	0	0	0	0	0	0	0	0	0	0	0	Brc(cc1)ccc1Oc1ccccc1	
dk\@`@qDfYYwZ]NB@@@@@	NCGC00091586-02	C12H9Br	233.1039	4638	0	0	0	0	0	0	0	0	0	0	0	0	Brc(cccc1)c1-c1ccccc1	
foQ@B@@XbSLsJ~pRkF]@@@@@@@@	NCGC00260504-01	C14H9Br	257.1253	29080		0				0		1	1	1	0		Brc1c(cccc2)c2cc2ccccc12	
dk\@`@qDfUnukmN@H@@@@	NCGC00257675-01	C12H9Br	233.1039	4639	0		0		0	0			0	0	0	0	Brc1cc(-c2ccccc2)ccc1	
foQ@B@@XbSLljzsdcV]@@@@@@@@	NCGC00260479-01	C14H9Br	257.1253	29277	0	0	0	0	0			0	0	0	0	0	Brc1cc2ccccc2c2ccccc12	
fdy@A`@XaLQfH{DCbQqLbbbfafRbwIV}ADP@QP@@@	NCGC00260144-01	C12H4Br6	627.5842	1174	0	0	0	0	0	1		0	0	0	0	0	Brc1ccc(-c(cc2Br)cc(Br)c2Br)c(Br)c1Br	
gOpHAbILkW@@@@	NCGC00258403-01	C6H5Br	157.0079	4637	0	0	0	0	0	0	0	0	0	0	0	0	Brc1ccccc1	
dev@PLCDPHRYUTjFZZ@@@@	NCGC00256377-01	C7H4BrNS	214.0824	1498	0	0	1	0	0		0	0	0	0	0	0	Brc1nc(cccc2)c2s1	
dev@PLCDPHRYUTjFZZ@@@@	NCGC00259683-01	C7H4BrNS	214.0824	1498	0	0	0	0	0	1	0	0	0	0	0	0	Brc1nc(cccc2)c2s1	
didH@@RZU~Fjzh@@	NCGC00255158-01	C8H12O	124.1803	1757	0	0	0	0	0	0	0	0	0	0	0	0	C#CC1(CCCCC1)O	
elZ^J@@DAmgo`TPMCHdlbbTTRTRjTTJRfRfTQT\vN~aZ`hFbfjl@@H`HBD@@	NCGC00242596-01	C23H23N7O5	477.4726	28504		0		0	0		0	0		1		0	C#CCC(Cc1nc2c(N)nc(N)nc2nc1)c(cc1)ccc1C(N[C@@H](CCC(O)=O)C(O)=O)=O	
fewPR@B^UjwPRFQQQJIJJI[JYIUdcNCfkXHJIfjjilZ@@	NCGC00254963-01	C19H15FN2O4	354.3318	12555	0	0	1	0	0	0		0	0	0	0	0	C#CCN(C(COc1c2)=O)c1cc(N(C(C1=C3CCCC1)=O)C3=O)c2F	
gCa@@dmX@	NCGC00258529-01	C3H4O	56.0633	1883	0	0	0	0	0	0	0	0	0	0	0	0	C#CCO	
foA@B@@RBSLl{zrVcPP@@V@@@	NCGC00261984-01	C14H9F	196.2197	31569	0		0										C#Cc(cc1)ccc1-c(cccc1)c1F	
fbePB@HVADHLrj~kJbTgLa@dt@@@qByJ`	NCGC00255792-01	C17H17ClN2	284.7833 (248.3223+36.4609)	24398	0	0		0	0		0	0	0	0	0	0	C(/C=C/Nc1ccccc1)=C/C=N/c1ccccc1.Cl	
fcP@@@FrRJIJJKIIKXiQI\LyH\kwUU@D@PS@A@@`V@	NCGC00018187-09	C26H28N2	368.5139	2821	0		1										C(/C=C/c1ccccc1)N(CC1)CCN1C(c1ccccc1)c1ccccc1	
fcP@@@FrRJIJJKIIKXiQI\LyH\kwUU@D@PS@A@@`V@	NCGC00015246-02	C26H28N2	368.5139	2821		0		0	0	0	0	0	0	0	0	0	C(/C=C/c1ccccc1)N(CC1)CCN1C(c1ccccc1)c1ccccc1	
dk}H@LHDigyfriWSijjjj@@	NCGC00015884-13	C10H16N2O	180.2468	25194	0		0										C(C1)C1C(C1CC1)NC1=NCCO1	
daf@@@RiUkfzjjh@@	NCGC00253728-01	C7H13N	111.1848	31396	0		0										C(C1)C2CCN1CC2	
dmM@@@qJYY~neVjjj`@	NCGC00260485-01	C9H16N2	152.2367	29384	0	0		0	0	0	0	0	0	0	0	0	C(C1)CN=C2N1CCCCC2	
deL@@DjYeIjGijjjjHEDRE@@	NCGC00260317-01	C10H16	136.2340	9244	0	0	0	0	0	0	0	0	0	0	0	0	C(C1)C[C@@H]2[C@H]1[C@H]1C[C@H]2CC1	
emhYHL@HDLBMCKGOE`OBcpX|LddRTTTbbUbbbbXtdTbVRrJjZzFfB`jbjjjjhjj@@@	NCGC00160420-01	C14H28N9OP3	431.3531	28613		0		0	0	0	0	0	0	1	0	0	C(C1)N1p1(N2CC2)np(N2CC2)(N2CCOCC2)np(N2CC2)(N2CC2)n1	
dae@@@yJeVn[jjj`@	NCGC00258875-01	C6H12N2	112.1729	2016	0	0	0	0	0		0	0	0	0	0	0	C(C1)N2CCN1CC2	
dae@@@yJeVn[jjj`@	NCGC00256609-01	C6H12N2	112.1729	2016	0	0	0	0	0	0	0	0	0	0	0	0	C(C1)N2CCN1CC2	
fhiPb@IAapDQ`TTRbaTJSNJuxMAQAUTP@@	NCGC00159533-02	C12H17ClN2O2	256.7286 (220.2676+36.4609)	26090	0		0										C(C1)NCCN1c1cccc2c1OCCO2.Cl	
