Substance ID,Name ,CAS ,SMILES,Formula ,FW ,OVERALL ,TA100 ,TA100_S9 ,TA1535 ,TA1535_S9 ,TA97 ,TA97_S9 ,TA1538 ,TA1538_S9 ,TA98 ,TA98_S9 ,TA1537 ,TA1537_S9 ,TA102 ,TA102_S9 ,TA104 ,TA104_S9 ,TA98(NR) ,TA98(NR)_S9 ,TA97A ,TA97A_S9 ,"TA98(1,8-DNP6) ","TA98(1,8-DNP6)_S9 ","TA100(1,8-DNP6) ","TA100(1,8-DNP6)_S9 ",TA100(NR) ,TA100(NR)_S9 ,YG1024 ,YG1024_S9 ,TA2638 ,TA2638_S9 ,YG1029 ,YG1029_S9 ,TA92 ,TA92_S9 ,YG1026 ,YG1026_S9 ,YG1021 ,YG1021_S9 ,TA7004 ,TA7004_S9 ,TA7005 ,TA7005_S9 ,TA1978 ,TA1978_S9 ,TA7002 ,TA7002_S9 ,TA7003 ,TA7003_S9 ,TA7001 ,TA7001_S9 ,TA7006 ,TA7006_S9 ,TM677 ,TM677_S9 ,G46 ,G46_S9 ,YG1020 ,YG1020_S9 ,YG1025 ,YG1025_S9 ,TA94 ,TA94_S9
1, BENZO[A]PYRENE ,  50-32-8  ,c12c3c4c(c5c(cc4ccc3ccc1)cccc5)cc2,C20H12 ,252.3093,3,1,3,2,2,1,3,1,3,1,3,1,3,ND ,ND ,ND ,ND ,1,3,2,3,1,3,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,1,3,1,3,ND ,ND ,1,3,1,1,1,3,1,3,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND
2, PIVALOLACTONE ,  1955-45-9  ,HC(H)C1(C(H)H)C(=O)OC1H,C5H8O2 ,100.1158,3,3,3,1,1,ND ,ND ,1,1,1,1,1,1,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND
3," 4,4'-METHYLENEBIS(N,N-DIMETHYLBENZENAMINE) ",  101-61-1  ,HC(H)N(c1ccc(C(H)c2ccc(N(C(H)H)C(H)H)cc2)cc1)C(H)H,C17H22N2 ,254.3701,1,1,1,1,1,ND ,ND ,1,1,1,1,1,1,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND
4, N-NITROSO-N-ETHYLANILINE ,  612-64-6  ,HC(H)C(H)N(c1ccccc1)N=O,C8H10N2O ,150.1779,1,1,1,1,1,ND ,ND ,1,1,1,1,1,1,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND
5, MICHLER'S KETONE ,  90-94-8  ,HC(H)N(c1ccc(C(=O)c2ccc(N(C(H)H)C(H)H)cc2)cc1)C(H)H,C17H20N2O ,268.3536,1,1,1,1,1,ND ,ND ,1,1,1,1,1,1,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND
6," N,N-DIMETHYLNITROSAMINE ",  62-75-9  ,HC(H)N(C(H)H)N=O,C2H6N2O ,74.0819,3,1,3,1,3,1,1,ND ,ND ,1,1,ND ,ND ,ND ,ND ,ND ,3,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,3,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND
7," D,L-1,2:3,4-DIEPOXYBUTANE ",  564-00-1  ,HC1[C@@]([C@]2C(H)O2)O1,C4H6O2 ,86.0892,3,2,1,3,3,ND ,ND ,1,1,1,1,1,1,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND
8, BENZIDINE ,  92-87-5  ,c1(-c2ccc(N)cc2)ccc(N)cc1,C12H12N2 ,184.2372,3,1,1,ND ,ND ,ND ,ND ,ND ,3,1,3,ND ,ND ,1,3,ND ,ND ,ND ,ND ,ND ,ND ,1,1,ND ,ND ,ND ,ND ,ND ,3,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND
9, DI(2-ETHYLHEXYL) PHTHALATE ,  117-81-7  ,HC(H)C(H)C(H)C(H)C(C(H)C(H)H)C(H)OC(=O)c1c(C(=O)OC(H)C(C(H)C(H)H)C(H)C(H)C(H)C(H)H)cccc1,C24H38O4 ,390.5561,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,1,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,1,1,1,1,ND ,ND ,1,1,1,1,1,1,1,1,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND
10, 4-AMINOBIPHENYL ,  92-67-1  ,c1(-c2ccc(N)cc2)ccccc1,C12H11N ,169.2225,3,1,3,1,ND ,1,3,ND ,3,1,3,ND ,3,1,3,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,3,ND ,ND ,ND ,ND ,ND ,ND ,ND ,3,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND ,ND
