NR-AR,NR-AR-LBD,NR-AhR,NR-ER,NR-ER-LBD,NR-PPAR-gamma,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53,NR-Aromatase,standardised_smiles,Identifier
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BrC(Br)Br,['NCGC00257743-01']
0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,1.0,,BrC(Br)C(Br)(Br)Br,['NCGC00258125-01']
0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BrC(Br)C(Br)Br,['NCGC00257918-01']
0.0,0.0,0.0,,0.0,0.0,1.0,0.0,,1.0,,,BrC1CCC(Br)C(Br)CCC(Br)C(Br)CCC1Br,"['NCGC00258953-01', 'NCGC00257050-01']"
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BrCBr,['NCGC00257964-01']
0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,,1.0,,BrCC(Br)(Br)Br,['NCGC00258739-01']
1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,BrCC(Br)C1CCC(Br)C(Br)C1,['NCGC00258523-01']
0.0,0.0,,,,0.0,,0.0,0.0,0.0,0.0,0.0,BrCC(Br)c1ccccc1,['NCGC00357213']
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,BrCC1CO1,['NCGC00260155-01']
0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,BrCC=CCBr,['NCGC00260276-01']
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BrCCBr,"['NCGC00258978-01', 'NCGC00256607-01']"
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BrCCCBr,['NCGC00260264-01']
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,BrCCCCBr,['NCGC00254971-01']
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BrCCCCCBr,['NCGC00260266-01']
0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,BrCCCCCCBr,['NCGC00255958-01']
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BrCCOc1ccccc1,['NCGC00260395-01']
0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,BrCCc1ccccc1,['NCGC00257656-01']
0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BrCc1ccc(Br)cc1,['NCGC00255915-01']
0.0,0.0,0.0,1.0,,0.0,,0.0,0.0,,0.0,0.0,BrCc1cccc(Oc2ccccc2)c1,['NCGC00255322-01']
0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BrCc1ccccc1,['NCGC00257572-01']
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brc1c(Br)c(Br)c(Br)c(Br)c1Br,['NCGC00260548-01']
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brc1c(Br)c(Br)c(Oc2c(Br)c(Br)c(Br)c(Br)c2Br)c(Br)c1Br,['NCGC00357196']
0.0,0.0,0.0,1.0,0.0,,,,0.0,,0.0,1.0,Brc1c(Br)c(Br)c2[nH]cnc2c1Br,['NCGC00260825']
0.0,,0.0,0.0,0.0,,,0.0,0.0,,,0.0,Brc1c(Br)c(Br)c2[nH]nnc2c1Br,['NCGC00261620']
