TA100,TA100_S9,TA1535,TA1535_S9,TA97,TA97_S9,TA98,TA98_S9,TA1537,TA1537_S9,TA102,TA102_S9,standardised_smiles
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,BrC(Br)Br
0.0,1.0,,,1.0,,0.0,1.0,,,,,BrC(Br)C(Br)Br
0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,BrC1CC(Br)CC(Br)CC(Br)CC(Br)CC(Br)C1
,1.0,,,0.0,1.0,1.0,1.0,,,,,BrC=CBr
1.0,1.0,,,0.0,,1.0,1.0,,,,,BrCBr
,0.0,0.0,,,,0.0,0.0,,,,,BrCC(Br)C1CCC(Br)C(Br)C1
,,,,,,,,,,,,BrCC(Br)CBr
,,,,,,,,,,,,BrCC(Br)c1ccccc1
1.0,,1.0,1.0,,,,,,,,,BrCC1CO1
,1.0,1.0,1.0,1.0,1.0,0.0,,,,0.0,,BrCCBr
0.0,1.0,,,0.0,0.0,,,,,,,BrCCC(Br)Br
0.0,0.0,1.0,1.0,,,0.0,,,,,,BrCCCBr
0.0,,1.0,1.0,,,0.0,,0.0,,,,BrCCCCBr
0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,BrCCCCCBr
0.0,,,,,,,,,,,,BrCc1c2cccc3ccc4cc5cccc6ccc1c(c65)c4c32
1.0,,,,,,1.0,,,,,,BrCc1c2ccccc2c2ccc3cccc4ccc1c2c43
1.0,,,,,,1.0,,,,,,BrCc1c2ccccc2cc2c1ccc1ccccc12
1.0,,,,,,,,,,,,BrCc1c2ccccc2cc2ccc3ccccc3c12
1.0,,,,,,,,,,,,BrCc1c2ccccc2cc2ccccc12
1.0,,,,,,1.0,,,,,,BrCc1cc2c3c(cccc3c1)-c1ccccc1-2
0.0,0.0,0.0,,,,0.0,0.0,,,,,BrCc1ccc(Br)cc1
0.0,,,,,,0.0,,,,,,BrCc1ccc(CBr)cc1
1.0,,,,,,1.0,,,,,,BrCc1ccc2c(c1)-c1cccc3cccc-2c13
1.0,,,,,,1.0,,,,,,BrCc1ccc2c3c(cccc13)-c1ccccc1-2
1.0,,,,,,1.0,,,,,,BrCc1ccc2cccc3c2c1-c1ccccc1-3
0.0,,,,,,0.0,,,,,,BrCc1cccc(CBr)c1
1.0,,,,,,,,,,,,BrCc1cccc2c1-c1cccc3cccc-2c13
1.0,0.0,,,,,,0.0,,,,,BrCc1ccccc1
,,,,,,,,,,,,BrCc1ccccc1CBr
,0.0,,0.0,,,,0.0,0.0,0.0,,,Brc1c(Br)c(Br)c(Br)c(Br)c1Br
0.0,0.0,,0.0,,,0.0,,0.0,0.0,,,Brc1c(Br)c(Br)c(Oc2c(Br)c(Br)c(Br)c(Br)c2Br)c(Br)c1Br
,,,,,,,,,,,,Brc1c2ccccc2cc2c1ccc1ccccc12
0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,,,Brc1cc(Br)c(OCCOc2c(Br)cc(Br)cc2Br)c(Br)c1
0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,,,Brc1ccc(-c2ccc(Br)c(Br)c2Br)c(Br)c1Br
