method,assay,round,bin,MCC
dnn,TA100,0,0-1,0.5566708934150054
dnn,TA100,0,2-3,0.571306106599935
dnn,TA100,0,>3,0.35502578454907163
dnn,TA100,1,0-1,0.5316634289754081
dnn,TA100,1,2-3,0.5417998317914213
dnn,TA100,1,>3,0.32581086865539394
dnn,TA100,2,0-1,0.4891338065874471
dnn,TA100,2,2-3,0.5424919922026825
dnn,TA100,2,>3,0.39438719920213444
dnn,TA100,3,0-1,0.5448001218788913
dnn,TA100,3,2-3,0.5265912360922009
dnn,TA100,3,>3,0.4397742927623642
dnn,TA100,4,0-1,0.5249007842757842
dnn,TA100,4,2-3,0.5478951887954808
dnn,TA100,4,>3,0.44713883551811046
dnn,TA100,5,0-1,0.46987838947918237
dnn,TA100,5,2-3,0.5118925706134024
dnn,TA100,5,>3,0.38545495046404016
dnn,TA100,6,0-1,0.4897755199783009
dnn,TA100,6,2-3,0.5287269739628488
dnn,TA100,6,>3,0.3600592107597641
dnn,TA100,7,0-1,0.5211332144950371
dnn,TA100,7,2-3,0.5998502136706111
dnn,TA100,7,>3,0.28333824411913855
dnn,TA100,8,0-1,0.5929270612815711
dnn,TA100,8,2-3,0.5589089179281344
dnn,TA100,8,>3,0.3394228696919681
dnn,TA100,9,0-1,0.5731628259055188
dnn,TA100,9,2-3,0.5687482779874283
dnn,TA100,9,>3,0.37655581356256734
dnn,TA100,10,0-1,0.561106983754726
dnn,TA100,10,2-3,0.5547391398336292
dnn,TA100,10,>3,0.39558243521252273
dnn,TA100,11,0-1,0.459999254089468
dnn,TA100,11,2-3,0.5372924754149349
dnn,TA100,11,>3,0.3920610084728323
dnn,TA100,12,0-1,0.5763909805852274
dnn,TA100,12,2-3,0.4784827218142285
dnn,TA100,12,>3,0.4595149856401178
dnn,TA100,13,0-1,0.5367450401216932
dnn,TA100,13,2-3,0.609061379339753
dnn,TA100,13,>3,0.31128325455997324
dnn,TA100,14,0-1,0.4664244730684839
dnn,TA100,14,2-3,0.563307480109317
dnn,TA100,14,>3,0.39046352575882765
dnn,TA100,15,0-1,0.5125
dnn,TA100,15,2-3,0.5287269739628488
dnn,TA100,15,>3,0.38657059877818584
dnn,TA100,16,0-1,0.4578085762784608
dnn,TA100,16,2-3,0.4964401654159284
dnn,TA100,16,>3,0.3242341817762215
dnn,TA100,17,0-1,0.5129429426577473
dnn,TA100,17,2-3,0.5304804937192841
dnn,TA100,17,>3,0.32906745781483876
dnn,TA100,18,0-1,0.5010216834356845
dnn,TA100,18,2-3,0.5398194641538582
dnn,TA100,18,>3,0.3350593107576509
dnn,TA100,19,0-1,0.47641288145956945
dnn,TA100,19,2-3,0.5064008585210161
dnn,TA100,19,>3,0.38791903153481305
dnn,TA100_S9,0,0-1,0.40414518843273806
dnn,TA100_S9,0,2-3,0.4716151722465125
dnn,TA100_S9,0,>3,0.4193143243877047
dnn,TA100_S9,1,0-1,0.4017674111568732
dnn,TA100_S9,1,2-3,0.46183696028890003
dnn,TA100_S9,1,>3,0.4462737254388286
dnn,TA100_S9,2,0-1,0.3292431988831966
dnn,TA100_S9,2,2-3,0.45151060905074875
dnn,TA100_S9,2,>3,0.3913182278056356
dnn,TA100_S9,3,0-1,0.37083333333333335
dnn,TA100_S9,3,2-3,0.4074975015489037
dnn,TA100_S9,3,>3,0.41385462099926285
dnn,TA100_S9,4,0-1,0.3327674521571932
dnn,TA100_S9,4,2-3,0.45151060905074875
dnn,TA100_S9,4,>3,0.41618111633496585
dnn,TA100_S9,5,0-1,0.3416666666666667
dnn,TA100_S9,5,2-3,0.4809124542909804
dnn,TA100_S9,5,>3,0.44321447473612446
dnn,TA100_S9,6,0-1,0.3307785452577072
dnn,TA100_S9,6,2-3,0.4631359845433107
dnn,TA100_S9,6,>3,0.3893913846902864
dnn,TA100_S9,7,0-1,0.3416666666666667
dnn,TA100_S9,7,2-3,0.4244213543668752
dnn,TA100_S9,7,>3,0.41052052747000806
dnn,TA100_S9,8,0-1,0.3585685828003181
dnn,TA100_S9,8,2-3,0.45414948065105903
dnn,TA100_S9,8,>3,0.42817396545864517
dnn,TA100_S9,9,0-1,0.37527767497325676
dnn,TA100_S9,9,2-3,0.4809124542909804
dnn,TA100_S9,9,>3,0.4236111111111111
dnn,TA100_S9,10,0-1,0.36389743146836717
dnn,TA100_S9,10,2-3,0.4716151722465125
dnn,TA100_S9,10,>3,0.46733658391052574
dnn,TA100_S9,11,0-1,0.3551112597765936
dnn,TA100_S9,11,2-3,0.46144108935117867
dnn,TA100_S9,11,>3,0.37013677054742294
dnn,TA100_S9,12,0-1,0.4017674111568732
dnn,TA100_S9,12,2-3,0.5009642515460989
dnn,TA100_S9,12,>3,0.43445707762058494
dnn,TA100_S9,13,0-1,0.3207677244189623
dnn,TA100_S9,13,2-3,0.3831482811524104
dnn,TA100_S9,13,>3,0.42325475670222495
dnn,TA100_S9,14,0-1,0.4217902046565165
dnn,TA100_S9,14,2-3,0.47300302064414
dnn,TA100_S9,14,>3,0.46733658391052574
dnn,TA100_S9,15,0-1,0.37896836447993354
dnn,TA100_S9,15,2-3,0.4850311417307616
dnn,TA100_S9,15,>3,0.41052052747000806
dnn,TA100_S9,16,0-1,0.34378036212392243
dnn,TA100_S9,16,2-3,0.46183696028890003
dnn,TA100_S9,16,>3,0.3995829830990434
dnn,TA100_S9,17,0-1,0.4092937423432803
dnn,TA100_S9,17,2-3,0.45258294204478355
dnn,TA100_S9,17,>3,0.4774985394174836
dnn,TA100_S9,18,0-1,0.36662475527814437
dnn,TA100_S9,18,2-3,0.47091722656673113
dnn,TA100_S9,18,>3,0.4338773420807661
dnn,TA100_S9,19,0-1,0.41566953859003564
dnn,TA100_S9,19,2-3,0.43432164054828604
dnn,TA100_S9,19,>3,0.42871221574232665
dnn,TA1535,0,0-1,0.5462309935991352
dnn,TA1535,0,2-3,0.4166190448976481
dnn,TA1535,0,>3,0.41448525035972594
dnn,TA1535,1,0-1,0.4267429637493243
dnn,TA1535,1,2-3,0.33606722016672236
dnn,TA1535,1,>3,0.41815982397529555
dnn,TA1535,2,0-1,0.4714045207910317
dnn,TA1535,2,2-3,0.4166190448976481
dnn,TA1535,2,>3,0.37085135237709815
dnn,TA1535,3,0-1,0.5629262517526437
dnn,TA1535,3,2-3,0.4166190448976481
dnn,TA1535,3,>3,0.3274645167170603
dnn,TA1535,4,0-1,0.5629262517526437
dnn,TA1535,4,2-3,0.4166190448976481
dnn,TA1535,4,>3,0.3950811387818147
dnn,TA1535,5,0-1,0.7261081981828944
dnn,TA1535,5,2-3,0.4166190448976481
dnn,TA1535,5,>3,0.41448525035972594
dnn,TA1535,6,0-1,0.5892556509887896
dnn,TA1535,6,2-3,0.33606722016672236
dnn,TA1535,6,>3,0.46152533230633297
dnn,TA1535,7,0-1,0.4470296705094523
dnn,TA1535,7,2-3,0.4166190448976481
dnn,TA1535,7,>3,0.3204050864665119
dnn,TA1535,8,0-1,0.4714045207910317
dnn,TA1535,8,2-3,0.4166190448976481
dnn,TA1535,8,>3,0.41815982397529555
dnn,TA1535,9,0-1,0.5462309935991352
dnn,TA1535,9,2-3,0.4166190448976481
dnn,TA1535,9,>3,0.4503299523845487
dnn,TA1535,10,0-1,0.6105909848356158
dnn,TA1535,10,2-3,0.4166190448976481
dnn,TA1535,10,>3,0.3950811387818147
dnn,TA1535,11,0-1,0.4199206274206273
dnn,TA1535,11,2-3,0.2986595567936803
dnn,TA1535,11,>3,0.38900926631281985
dnn,TA1535,12,0-1,0.5892556509887896
dnn,TA1535,12,2-3,0.4166190448976481
dnn,TA1535,12,>3,0.4040131198181833
dnn,TA1535,13,0-1,0.5166666666666667
dnn,TA1535,13,2-3,0.4166190448976481
dnn,TA1535,13,>3,0.37997247922358834
dnn,TA1535,14,0-1,0.6105909848356158
dnn,TA1535,14,2-3,0.4166190448976481
dnn,TA1535,14,>3,0.4335324297524452
dnn,TA1535,15,0-1,0.43301270189221935
dnn,TA1535,15,2-3,-0.08885233166386385
dnn,TA1535,15,>3,0.3179699103689602
dnn,TA1535,16,0-1,0.4714045207910317
dnn,TA1535,16,2-3,0.4166190448976481
dnn,TA1535,16,>3,0.4503299523845487
dnn,TA1535,17,0-1,0.5462309935991352
dnn,TA1535,17,2-3,0.4166190448976481
dnn,TA1535,17,>3,0.31411066589693565
dnn,TA1535,18,0-1,0.3822764257713037
dnn,TA1535,18,2-3,0.4166190448976481
dnn,TA1535,18,>3,0.4503299523845487
dnn,TA1535,19,0-1,0.6333333333333333
dnn,TA1535,19,2-3,0.4166190448976481
dnn,TA1535,19,>3,0.37085135237709815
dnn,TA1535_S9,0,0-1,0.5
dnn,TA1535_S9,0,2-3,0.6730769230769231
dnn,TA1535_S9,0,>3,0.35765434554147657
dnn,TA1535_S9,1,0-1,0.5
dnn,TA1535_S9,1,2-3,0.6730769230769231
