method,assay,round,bin,MCC
dnn,NR-AR,0,0-1,0.0
dnn,NR-AR,0,2-3,0.0
dnn,NR-AR,0,>3,0.5805196689471825
dnn,NR-AR,1,0-1,0.0
dnn,NR-AR,1,2-3,0.0
dnn,NR-AR,1,>3,0.6035778563265876
dnn,NR-AR,2,0-1,0.0
dnn,NR-AR,2,2-3,0.0
dnn,NR-AR,2,>3,0.5981581318214497
dnn,NR-AR,3,0-1,0.0
dnn,NR-AR,3,2-3,0.0
dnn,NR-AR,3,>3,0.5923901858117784
dnn,NR-AR,4,0-1,0.0
dnn,NR-AR,4,2-3,0.0
dnn,NR-AR,4,>3,0.5981581318214497
dnn,NR-AR,5,0-1,0.0
dnn,NR-AR,5,2-3,0.0
dnn,NR-AR,5,>3,0.5753216826547087
dnn,NR-AR,6,0-1,0.0
dnn,NR-AR,6,2-3,0.0
dnn,NR-AR,6,>3,0.6107563843845476
dnn,NR-AR,7,0-1,0.0
dnn,NR-AR,7,2-3,0.0
dnn,NR-AR,7,>3,0.5981581318214497
dnn,NR-AR,8,0-1,0.0
dnn,NR-AR,8,2-3,0.0
dnn,NR-AR,8,>3,0.6035778563265876
dnn,NR-AR,9,0-1,0.0
dnn,NR-AR,9,2-3,0.0
dnn,NR-AR,9,>3,0.5708356690631029
dnn,NR-AR,10,0-1,0.0
dnn,NR-AR,10,2-3,0.0
dnn,NR-AR,10,>3,0.5981581318214497
dnn,NR-AR,11,0-1,0.0
dnn,NR-AR,11,2-3,0.0
dnn,NR-AR,11,>3,0.6534717193485741
dnn,NR-AR,12,0-1,0.0
dnn,NR-AR,12,2-3,0.0
dnn,NR-AR,12,>3,0.5932687719383681
dnn,NR-AR,13,0-1,0.0
dnn,NR-AR,13,2-3,0.0
dnn,NR-AR,13,>3,0.5817546621106927
dnn,NR-AR,14,0-1,0.0
dnn,NR-AR,14,2-3,0.0
dnn,NR-AR,14,>3,0.6107563843845476
dnn,NR-AR,15,0-1,0.0
dnn,NR-AR,15,2-3,0.0
dnn,NR-AR,15,>3,0.5981581318214497
dnn,NR-AR,16,0-1,0.0
dnn,NR-AR,16,2-3,0.0
dnn,NR-AR,16,>3,0.586252195411645
dnn,NR-AR,17,0-1,0.0
dnn,NR-AR,17,2-3,0.0
dnn,NR-AR,17,>3,0.5981581318214497
dnn,NR-AR,18,0-1,0.0
dnn,NR-AR,18,2-3,0.0
dnn,NR-AR,18,>3,0.615368130689058
dnn,NR-AR,19,0-1,0.0
dnn,NR-AR,19,2-3,0.0
