assay,round,accuracy,balanced_accuracy,precision,recall,AUC,F1,MCC
NR-AR,0,0.9751009421265141,0.7276311554554232,0.7272727272727273,0.46153846153846156,0.758864392232593,0.5647058823529413,0.5677382685310176
NR-AR,1,0.9744279946164199,0.7180157708400385,0.71875,0.4423076923076923,0.733974358974359,0.5476190476190477,0.551997310211083
NR-AR,2,0.9757738896366084,0.6909129921682223,0.8333333333333334,0.38461538461538464,0.7160310052569467,0.5263157894736842,0.5566246311419722
NR-AR,3,0.9764468371467026,0.7190617959446411,0.7931034482758621,0.4423076923076923,0.7791143654114365,0.5679012345679012,0.5820283137574634
NR-AR,4,0.9751009421265141,0.7276311554554232,0.7272727272727273,0.46153846153846156,0.7282748632121017,0.5647058823529413,0.5677382685310176
NR-AR,5,0.9757738896366084,0.7279798304902907,0.75,0.46153846153846156,0.7678763008260917,0.5714285714285714,0.5772254581773028
NR-AR,6,0.9744279946164199,0.7272824804205558,0.7058823529411765,0.46153846153846156,0.7096609805814826,0.558139534883721,0.5586623923487458
NR-AR,7,0.9730820995962315,0.6709848728677181,0.75,0.34615384615384615,0.7520249973178844,0.4736842105263157,0.49852234104103305
NR-AR,8,0.977792732166891,0.7290258555948932,0.8275862068965517,0.46153846153846156,0.7788863855809461,0.5925925925925927,0.6085019615763674
NR-AR,9,0.9784656796769852,0.7015744018882094,0.9545454545454546,0.40384615384615385,0.7747156957408005,0.5675675675675677,0.6134225601534602
NR-AR,10,0.9744279946164199,0.671682222937453,0.8181818181818182,0.34615384615384615,0.6950166291170475,0.4864864864864865,0.522455965343929
NR-AR,11,0.9757738896366084,0.7279798304902907,0.75,0.46153846153846156,0.7321505203304366,0.5714285714285714,0.5772254581773028
NR-AR,12,0.9757738896366084,0.7279798304902907,0.75,0.46153846153846156,0.7417793155240855,0.5714285714285714,0.5772254581773028
NR-AR,13,0.9757738896366084,0.7279798304902907,0.75,0.46153846153846156,0.7610771376461752,0.5714285714285714,0.5772254581773028
NR-AR,14,0.9751009421265141,0.7276311554554232,0.7272727272727273,0.46153846153846156,0.751193541465508,0.5647058823529413,0.5677382685310176
NR-AR,15,0.9764468371467026,0.7005283767836069,0.84,0.40384615384615385,0.757858598862783,0.5454545454545454,0.5730426799079281
NR-AR,16,0.9751009421265141,0.7276311554554232,0.7272727272727273,0.46153846153846156,0.737957300718807,0.5647058823529413,0.5677382685310176
NR-AR,17,0.9764468371467026,0.7283285055251583,0.7741935483870968,0.46153846153846156,0.7522797983049029,0.5783132530120482,0.5871567171865705
NR-AR,18,0.9757738896366084,0.7279798304902907,0.75,0.46153846153846156,0.7293342988949683,0.5714285714285714,0.5772254581773028
NR-AR,19,0.9663526244952894,0.5192307692307693,1.0,0.038461538461538464,0.7401834567106533,0.07407407407407407,0.19278398409659211
NR-AR-LBD,0,0.9833935018050541,0.829618623080733,0.7222222222222222,0.6666666666666666,0.8500971539604526,0.6933333333333334,0.6853924952257744
NR-AR-LBD,1,0.9797833935018051,0.8402103097496857,0.627906976744186,0.6923076923076923,0.8218463062445232,0.6585365853658537,0.6489658050128266
NR-AR-LBD,2,0.9812274368231046,0.7911570846191947,0.696969696969697,0.5897435897435898,0.8053872823560787,0.638888888888889,0.6316360012947262
NR-AR-LBD,3,0.9790613718411553,0.8273897969291728,0.6190476190476191,0.6666666666666666,0.8282851373490303,0.6419753086419754,0.6316657336933966
NR-AR-LBD,4,0.9797833935018051,0.8402103097496857,0.627906976744186,0.6923076923076923,0.8431630281555987,0.6585365853658537,0.6489658050128266
NR-AR-LBD,5,0.9833935018050541,0.829618623080733,0.7222222222222222,0.6666666666666666,0.8167409608717187,0.6933333333333334,0.6853924952257744
NR-AR-LBD,6,0.9776173285198556,0.8390958966739056,0.5869565217391305,0.6923076923076923,0.8438869204099516,0.6352941176470588,0.626092006824428
NR-AR-LBD,7,0.9848375451263538,0.8552596487217587,0.7368421052631579,0.717948717948718,0.8371242427706024,0.7272727272727273,0.7195402868758032
NR-AR-LBD,8,0.9790613718411553,0.8273897969291728,0.6190476190476191,0.6666666666666666,0.8488208176172516,0.6419753086419754,0.6316657336933966
