assay,round,accuracy,balanced_accuracy,precision,recall,AUC,F1,MCC
NR-AR,0,0.9792225201072386,0.7319664286240153,0.7857142857142857,0.4680851063829787,0.7430759037031583,0.5866666666666668,0.5971568661981975
NR-AR,1,0.9785522788203752,0.7316204078627697,0.7586206896551724,0.4680851063829787,0.7874990797320179,0.5789473684210527,0.5860956636793931
NR-AR,2,0.979892761394102,0.7117278951630714,0.8695652173913043,0.425531914893617,0.7446072296252669,0.5714285714285714,0.6003660319853561
NR-AR,3,0.979892761394102,0.7426047264963558,0.7931034482758621,0.4893617021276596,0.7807406316719429,0.6052631578947368,0.6138905440140823
NR-AR,4,0.9792225201072386,0.7216741515129206,0.8076923076923077,0.44680851063829785,0.7621144077155267,0.5753424657534246,0.5917990230156281
NR-AR,5,0.977882037533512,0.7106898328793345,0.7692307692307693,0.425531914893617,0.7849959508208791,0.547945205479452,0.5624744085241198
NR-AR,6,0.9772117962466488,0.7309283663402784,0.7096774193548387,0.4680851063829787,0.7930059633365235,0.5641025641025641,0.5655671503375587
NR-AR,7,0.9792225201072386,0.7422587057351101,0.7666666666666667,0.4893617021276596,0.7828314805271295,0.5974025974025974,0.6029175520726975
NR-AR,8,0.977882037533512,0.7415666642126187,0.71875,0.4893617021276596,0.7830376205551056,0.5822784810126582,0.5825033579972747
NR-AR,9,0.979892761394102,0.6911433409408821,0.9473684210526316,0.3829787234042553,0.763233453581683,0.5454545454545454,0.5955165657236733
NR-AR,10,0.9812332439678284,0.7227122137966575,0.9130434782608696,0.44680851063829785,0.7640874622690127,0.6,0.6315126685068677
NR-AR,11,0.9819034852546916,0.7230582345579033,0.9545454545454546,0.44680851063829785,0.7686814400353382,0.6086956521739131,0.6464889422258082
NR-AR,12,0.9805630026809652,0.7223661930354119,0.875,0.44680851063829785,0.7400132518589413,0.591549295774648,0.6174658745052749
NR-AR,13,0.977882037533512,0.7312743871015239,0.7333333333333333,0.4680851063829787,0.7767503497018333,0.5714285714285714,0.5755805014529788
NR-AR,14,0.9785522788203752,0.7213281307516749,0.7777777777777778,0.44680851063829785,0.7501141132297725,0.5675675675675675,0.5800277474647032
NR-AR,15,0.9805630026809652,0.7326584701465066,0.8461538461538461,0.4680851063829787,0.7759405138776412,0.6027397260273972,0.6211236375071365
NR-AR,16,0.9792225201072386,0.7319664286240153,0.7857142857142857,0.4680851063829787,0.7907678716042112,0.5866666666666668,0.5971568661981975
NR-AR,17,0.9812332439678284,0.7432967680188471,0.8518518518518519,0.4893617021276596,0.772141647647795,0.6216216216216216,0.6376002717781342
NR-AR,18,0.979892761394102,0.732312449385261,0.8148148148148148,0.4680851063829787,0.7607008760951189,0.5945945945945945,0.6088140096214186
NR-AR,19,0.9819034852546916,0.7230582345579033,0.9545454545454546,0.44680851063829785,0.7683575057056616,0.6086956521739131,0.6464889422258082
NR-AR-LBD,0,0.9778254649499284,0.7318219758413783,0.7857142857142857,0.4680851063829787,0.9206104225396476,0.5866666666666668,0.5965157334635532
NR-AR-LBD,1,0.977110157367668,0.7417200812636817,0.7419354838709677,0.4893617021276596,0.919098540088508,0.5897435897435898,0.5917717466671111
NR-AR-LBD,2,0.9799713876967096,0.7637368694583996,0.8064516129032258,0.5319148936170213,0.9286580468368584,0.641025641025641,0.6456725774871014
NR-AR-LBD,3,0.977110157367668,0.7417200812636817,0.7419354838709677,0.4893617021276596,0.9211931272343576,0.5897435897435898,0.5917717466671111
NR-AR-LBD,4,0.9706723891273248,0.8308030300644125,0.5517241379310345,0.6808510638297872,0.92079940784604,0.6095238095238096,0.5980117015477268
NR-AR-LBD,5,0.977110157367668,0.7417200812636817,0.7419354838709677,0.4893617021276596,0.9210041419279652,0.5897435897435898,0.5917717466671111
NR-AR-LBD,6,0.9778254649499284,0.7215537741940564,0.8076923076923077,0.44680851063829785,0.9348158180701449,0.5753424657534246,0.5911831158724933
NR-AR-LBD,7,0.977110157367668,0.7519882829110036,0.7272727272727273,0.5106382978723404,0.9228467486652912,0.5999999999999999,0.5983615116935697
NR-AR-LBD,8,0.9763948497854076,0.7413499850386632,0.71875,0.4893617021276596,0.9234452021355339,0.5822784810126582,0.5817729661187893
NR-AR-LBD,9,0.9785407725321889,0.7629966770083626,0.7575757575757576,0.5319148936170213,0.9178543868214246,0.625,0.6245016133575055
NR-AR-LBD,10,0.977110157367668,0.7622564845583255,0.7142857142857143,0.5319148936170213,0.939997165220404,0.6097560975609756,0.6051330658504792
NR-AR-LBD,11,0.9778254649499284,0.7523583791360222,0.75,0.5106382978723404,0.9296502196954186,0.6075949367088608,0.6083086465962466
NR-AR-LBD,12,0.977110157367668,0.7417200812636817,0.7419354838709677,0.4893617021276596,0.9273508984676442,0.5897435897435898,0.5917717466671111
NR-AR-LBD,13,0.974964234620887,0.7816825991779139,0.6428571428571429,0.5744680851063829,0.9616517315778698,0.6067415730337079,0.5948563865215597
NR-AR-LBD,14,0.974964234620887,0.7200733892939823,0.7,0.44680851063829785,0.9299809439816056,0.5454545454545453,0.5474827689166432
NR-AR-LBD,15,0.9756795422031472,0.7923208970502543,0.6511627906976745,0.5957446808510638,0.9362332078680882,0.6222222222222222,0.6103270049643985
NR-AR-LBD,16,0.9778254649499284,0.7523583791360222,0.75,0.5106382978723404,0.9275556325495692,0.6075949367088608,0.6083086465962466
NR-AR-LBD,17,0.9799713876967096,0.7534686678110777,0.8275862068965517,0.5106382978723404,0.9299651952060728,0.631578947368421,0.6411064679484193
NR-AR-LBD,18,0.977110157367668,0.7211836779690379,0.7777777777777778,0.44680851063829785,0.923397955808936,0.5675675675675675,0.57937408438577
NR-AR-LBD,19,0.9778254649499284,0.7626265807833441,0.7352941176470589,0.5319148936170213,0.9293352441847648,0.6172839506172839,0.6146086029246146
NR-AhR,0,0.9243759177679882,0.7400949354974544,0.7307692307692307,0.5033112582781457,0.8890468716675508,0.5960784313725489,0.5676969356011795
NR-AhR,1,0.920704845814978,0.7612175368175828,0.672,0.5562913907284768,0.8887187535887916,0.6086956521739131,0.5681369225335761
NR-AhR,2,0.919970631424376,0.7434143967275691,0.6842105263157895,0.5165562913907285,0.8845844657964246,0.5886792452830191,0.5519212093006475
NR-AhR,3,0.920704845814978,0.7409289022809675,0.6936936936936937,0.5099337748344371,0.8939084878678342,0.5877862595419847,0.552954374967072
NR-AhR,4,0.9221732745961819,0.7417546661125117,0.7064220183486238,0.5099337748344371,0.8902663771936059,0.5923076923076923,0.5594697654216273
NR-AhR,5,0.92143906020558,0.7558336660086076,0.6833333333333333,0.543046357615894,0.8864820820185824,0.6051660516605166,0.5667568973159937
NR-AhR,6,0.9177679882525698,0.747972503705,0.6611570247933884,0.5298013245033113,0.8886203181651638,0.5882352941176471,0.5472874533210672
NR-AhR,7,0.9170337738619676,0.7214742345278654,0.6826923076923077,0.4701986754966888,0.8837477646955886,0.5568627450980392,0.5236688728797414
NR-AhR,8,0.919236417033774,0.7372047620870497,0.6846846846846847,0.5033112582781457,0.8834305838861211,0.5801526717557252,0.5444071247462743
NR-AhR,9,0.920704845814978,0.7641159131799564,0.6692913385826772,0.5629139072847682,0.8903046576361279,0.6115107913669064,0.5703609322146809
NR-AhR,10,0.919970631424376,0.7434143967275691,0.6842105263157895,0.5165562913907285,0.8882703255478206,0.5886792452830191,0.5519212093006475
NR-AhR,11,0.919236417033774,0.7140177511880609,0.7157894736842105,0.4503311258278146,0.8869578532327833,0.5528455284552846,0.5275823125057538
NR-AhR,12,0.922907488986784,0.7508626771154046,0.7017543859649122,0.5298013245033113,0.8947451889686703,0.6037735849056604,0.5688095444777381
NR-AhR,13,0.919970631424376,0.728922514915701,0.7019230769230769,0.4834437086092716,0.8871875358879149,0.5725490196078431,0.5412800979683167
NR-AhR,14,0.9243759177679882,0.7400949354974544,0.7307692307692307,0.5033112582781457,0.8874500303509222,0.5960784313725489,0.5676969356011795
NR-AhR,15,0.9177679882525698,0.7131919873565167,0.7010309278350515,0.4503311258278146,0.8815329676639633,0.5483870967741935,0.5205114520037099
NR-AhR,16,0.9221732745961819,0.7272627843006436,0.7272727272727273,0.4768211920529801,0.8882265764706525,0.5760000000000001,0.5496669077690207
NR-AhR,17,0.9162995594713657,0.7181629762497197,0.6796116504854369,0.4635761589403973,0.8841251004861616,0.5511811023622047,0.5181316396436834
NR-AhR,18,0.9280469897209984,0.747956097801062,0.7572815533980582,0.5165562913907285,0.8905835580030735,0.6141732283464566,0.5888895619312436
NR-AhR,19,0.920704845814978,0.7177418913819786,0.7263157894736842,0.456953642384106,0.8852789823964651,0.5609756097560976,0.5367628149860191
NR-ER,0,0.9159465828750982,0.6340155531990103,0.6481481481481481,0.2845528455284553,0.7511452810180277,0.3954802259887005,0.39290534984234987
NR-ER,1,0.9206598586017282,0.6366242488511842,0.7291666666666666,0.2845528455284553,0.7481689642983387,0.4093567251461988,0.4238094104740533
NR-ER,2,0.9253731343283582,0.6356026864616472,0.85,0.2764227642276423,0.7389784376104631,0.4171779141104294,0.4592913128488972
NR-ER,3,0.9206598586017282,0.6438847649346059,0.7115384615384616,0.3008130081300813,0.7486709084482149,0.4228571428571429,0.4295233511989748
NR-ER,4,0.9230164964650432,0.6306680805938494,0.8048780487804879,0.2682926829268293,0.748444680098975,0.4024390243902439,0.4373243919807798
NR-ER,5,0.9238020424194816,0.631102863202545,0.825,0.2682926829268293,0.7466702014846236,0.4049079754601227,0.4440502450928718
NR-ER,6,0.9214454045561664,0.6334287734181689,0.7555555555555555,0.2764227642276423,0.7511806291975963,0.4047619047619048,0.4269485322959481
NR-ER,7,0.9238020424194816,0.6419936373276777,0.7826086956521741,0.2926829268292683,0.7451855779427361,0.4260355029585799,0.44957190033463
NR-ER,8,0.9230164964650432,0.6379285966772712,0.7777777777777778,0.2845528455284553,0.7489890420643337,0.4166666666666667,0.4413471727604285
NR-ER,9,0.9238020424194816,0.6383633792859668,0.7954545454545454,0.2845528455284553,0.7496818663838812,0.4191616766467065,0.4475590591756616
NR-ER,10,0.9222309505106048,0.648384588193708,0.7307692307692307,0.3089430894308943,0.7539802050194415,0.4342857142857143,0.4429561782736903
NR-ER,11,0.9175176747839748,0.6348851184164015,0.6730769230769231,0.2845528455284553,0.7475609756097561,0.4,0.4026576970495438
NR-ER,12,0.9222309505106048,0.6374938140685755,0.7608695652173914,0.2845528455284553,0.7463732767762461,0.4142011834319527,0.4353248246780209
NR-ER,13,0.9167321288295364,0.6380805938494167,0.6545454545454545,0.2926829268292683,0.7603852951572994,0.40449438202247184,0.4012907312769637
NR-ER,14,0.9206598586017282,0.6366242488511842,0.7291666666666666,0.2845528455284553,0.7526440438317425,0.4093567251461988,0.4238094104740533
NR-ER,15,0.9222309505106048,0.6302332979851537,0.7857142857142857,0.2682926829268293,0.7450088370448922,0.4,0.4308239502936773
NR-ER,16,0.9206598586017282,0.6329939908094733,0.7391304347826086,0.2764227642276423,0.7475185577942736,0.4023668639053255,0.4210777490214119
NR-ER,17,0.9222309505106048,0.6374938140685755,0.7608695652173914,0.2845528455284553,0.7470236832803112,0.4142011834319527,0.4353248246780209
NR-ER,18,0.9190887666928516,0.6284941675503712,0.7173913043478259,0.2682926829268293,0.7508271474019087,0.3905325443786982,0.4068306733648029
NR-ER,19,0.91987431264729,0.6470802403676209,0.6909090909090909,0.3089430894308943,0.7487416048073525,0.4269662921348315,0.4274455632619918
NR-ER-LBD,0,0.9756944444444444,0.7926275482026044,0.7608695652173914,0.5932203389830508,0.9221271738730225,0.6666666666666667,0.6597171081819384
NR-ER-LBD,1,0.9763888888888888,0.7848770848930401,0.7906976744186046,0.576271186440678,0.9405859178438616,0.6666666666666667,0.6635565287152299
NR-ER-LBD,2,0.9770833333333332,0.8095767007449772,0.7708333333333334,0.6271186440677966,0.9407209219553504,0.6915887850467289,0.6837240743818563
NR-ER-LBD,3,0.9777777777777776,0.8261637968065392,0.7647058823529411,0.6610169491525424,0.9358730470427964,0.7090909090909091,0.6996041610298681
NR-ER-LBD,4,0.9777777777777776,0.8261637968065392,0.7647058823529411,0.6610169491525424,0.9454092465543268,0.7090909090909091,0.6996041610298681
NR-ER-LBD,5,0.9722222222222222,0.8557174241215528,0.6417910447761194,0.7288135593220338,0.9423409712932168,0.6825396825396826,0.6695535385091912
