assay,round,accuracy,balanced_accuracy,precision,recall,AUC,F1,MCC
NR-AR,0,0.9751009421265141,0.7276311554554232,0.7272727272727273,0.46153846153846156,0.7396604441583521,0.5647058823529413,0.5677382685310176
NR-AR,1,0.9757738896366084,0.7187131209097737,0.7666666666666667,0.4423076923076923,0.729495225834138,0.5609756097560975,0.5715309663572616
NR-AR,2,0.9771197846567967,0.7194104709795086,0.8214285714285714,0.4423076923076923,0.6945606694560669,0.575,0.5930698074935439
NR-AR,3,0.9764468371467026,0.7190617959446411,0.7931034482758621,0.4423076923076923,0.7751582448235168,0.5679012345679012,0.5820283137574634
NR-AR,4,0.9764468371467026,0.7283285055251583,0.7741935483870968,0.46153846153846156,0.7077700890462397,0.5783132530120482,0.5871567171865705
NR-AR,5,0.9764468371467026,0.7283285055251583,0.7741935483870968,0.46153846153846156,0.7466205342774381,0.5783132530120482,0.5871567171865705
NR-AR,6,0.9751009421265141,0.7276311554554232,0.7272727272727273,0.46153846153846156,0.6855085291277759,0.5647058823529413,0.5677382685310176
NR-AR,7,0.9757738896366084,0.7094464113292566,0.7857142857142857,0.4230769230769231,0.7506839394914708,0.55,0.5661368041949861
NR-AR,8,0.9751009421265141,0.7276311554554232,0.7272727272727273,0.46153846153846156,0.7727175195794443,0.5647058823529413,0.5677382685310176
NR-AR,9,0.977792732166891,0.7104924364338591,0.88,0.4230769230769231,0.7392983585452204,0.5714285714285714,0.6015166123075529
NR-AR,10,0.9764468371467026,0.6634615384615384,1.0,0.3269230769230769,0.6489378822014805,0.4927536231884058,0.5649193706859742
NR-AR,11,0.9751009421265141,0.7276311554554232,0.7272727272727273,0.46153846153846156,0.7302864499517219,0.5647058823529413,0.5677382685310176
NR-AR,12,0.9751009421265141,0.7276311554554232,0.7272727272727273,0.46153846153846156,0.732271215534814,0.5647058823529413,0.5677382685310176
NR-AR,13,0.9764468371467026,0.7190617959446411,0.7931034482758621,0.4423076923076923,0.7520384078961484,0.5679012345679012,0.5820283137574634
NR-AR,14,0.9757738896366084,0.7279798304902907,0.75,0.46153846153846156,0.7477470228516254,0.5714285714285714,0.5772254581773028
NR-AR,15,0.9771197846567967,0.7194104709795086,0.8214285714285714,0.4423076923076923,0.7277518506598005,0.575,0.5930698074935439
NR-AR,16,0.9751009421265141,0.7276311554554232,0.7272727272727273,0.46153846153846156,0.7146899474305333,0.5647058823529413,0.5677382685310176
NR-AR,17,0.9751009421265141,0.7276311554554232,0.7272727272727273,0.46153846153846156,0.7254854629331617,0.5647058823529413,0.5677382685310176
NR-AR,18,0.9757738896366084,0.7187131209097737,0.7666666666666667,0.4423076923076923,0.714073060830383,0.5609756097560975,0.5715309663572616
NR-AR,19,0.9690444145356663,0.5576923076923077,1.0,0.11538461538461539,0.7163260379787576,0.20689655172413793,0.33436258283237497
NR-AR-LBD,0,0.9826714801444043,0.8167981102602202,0.7142857142857143,0.6410256410256411,0.8392578199413268,0.6756756756756757,0.6678308928696755
NR-AR-LBD,1,0.9805054151624548,0.7907856135939346,0.6764705882352942,0.5897435897435898,0.791519030746371,0.6301369863013699,0.6217139503438283
NR-AR-LBD,2,0.9826714801444043,0.8043490684649675,0.7272727272727273,0.6153846153846154,0.8161885167828704,0.6666666666666667,0.6602546829812349
NR-AR-LBD,3,0.9826714801444043,0.8167981102602202,0.7142857142857143,0.6410256410256411,0.8268564026364918,0.6756756756756757,0.6678308928696755
NR-AR-LBD,4,0.9833935018050541,0.8047205394902275,0.75,0.6153846153846154,0.8403817579151903,0.676056338028169,0.6710620360691671
NR-AR-LBD,5,0.9790613718411553,0.7900426715434146,0.6388888888888888,0.5897435897435898,0.8231797919762258,0.6133333333333332,0.6031002390371628
NR-AR-LBD,6,0.9805054151624548,0.8156836971844401,0.6578947368421053,0.6410256410256411,0.8344763211033642,0.6493506493506495,0.6393834449011944
NR-AR-LBD,7,0.9812274368231046,0.8036061264144474,0.6857142857142857,0.6153846153846154,0.8281708385720272,0.6486486486486486,0.6400213382507788
NR-AR-LBD,8,0.9826714801444043,0.829247152055473,0.7027027027027027,0.6666666666666666,0.8312378557549434,0.6842105263157895,0.6755555216678671
NR-AR-LBD,9,0.9826714801444043,0.8043490684649675,0.7272727272727273,0.6153846153846154,0.8048538880633977,0.6666666666666667,0.6602546829812349
NR-AR-LBD,10,0.9833935018050541,0.7922714976949747,0.7666666666666667,0.5897435897435898,0.8327999390406522,0.6666666666666667,0.664264463211656
NR-AR-LBD,11,0.9826714801444043,0.7919000266697147,0.7419354838709677,0.5897435897435898,0.8322093953594696,0.6571428571428573,0.6528731146420181
NR-AR-LBD,12,0.9819494584837545,0.8288756810302129,0.6842105263157895,0.6666666666666666,0.8388958738141501,0.6753246753246753,0.6661023922260639
NR-AR-LBD,13,0.9833935018050541,0.7549243723092163,0.8333333333333334,0.5128205128205128,0.8281898883681943,0.6349206349206349,0.6463407000521896
NR-AR-LBD,14,0.9819494584837545,0.8039775974397074,0.7058823529411765,0.6153846153846154,0.8167600106678858,0.6575342465753424,0.6499190609346175
NR-AR-LBD,15,0.9812274368231046,0.8036061264144474,0.6857142857142857,0.6153846153846154,0.8176744008839105,0.6486486486486486,0.6400213382507788
NR-AR-LBD,16,0.984115523465704,0.767744885129729,0.84,0.5384615384615384,0.8060921248142645,0.6562499999999999,0.6653751140609105
NR-AR-LBD,17,0.9805054151624548,0.7783365717986818,0.6875,0.5641025641025641,0.8238465348420771,0.619718309859155,0.6129587027385972
NR-AR-LBD,18,0.9805054151624548,0.7907856135939346,0.6764705882352942,0.5897435897435898,0.8226654474797119,0.6301369863013699,0.6217139503438283
NR-AR-LBD,19,0.9819494584837545,0.8288756810302129,0.6842105263157895,0.6666666666666666,0.8419438412008992,0.6753246753246753,0.6661023922260639
NR-AhR,0,0.9086892488954345,0.6531381510723868,0.6901408450704225,0.32450331125827814,0.8623427358071296,0.4414414414414414,0.43255073651932424
NR-AhR,1,0.9094256259204713,0.6912135062027795,0.6458333333333334,0.4105960264900662,0.8695797692269707,0.5020242914979757,0.4690567341607601
NR-AhR,2,0.9013254786450663,0.6518926570721564,0.6024096385542169,0.33112582781456956,0.866205413235157,0.4273504273504274,0.3986710914421754
NR-AhR,3,0.906480117820324,0.6924535134452998,0.6176470588235294,0.41721854304635764,0.8700516303900536,0.4980237154150198,0.459095507303226
NR-AhR,4,0.9086892488954345,0.6792112237115722,0.651685393258427,0.3841059602649007,0.8604827249433491,0.4833333333333334,0.4553145148997454
NR-AhR,5,0.9101620029455081,0.7148038209780694,0.6306306306306306,0.46357615894039733,0.8833131237757671,0.5343511450381679,0.4929687511955943
NR-AhR,6,0.898379970544919,0.7081758176640678,0.5511811023622047,0.46357615894039733,0.8715495152449564,0.5035971223021583,0.449543266083944
NR-AhR,7,0.9020618556701031,0.7044530525576521,0.576271186440678,0.4503311258278146,0.8713684522405175,0.5055762081784386,0.4563666051914264
NR-AhR,8,0.9035346097201767,0.6821054884037375,0.6,0.3973509933774834,0.8709624321699578,0.4780876494023904,0.4383841249649732
NR-AhR,9,0.8991163475699558,0.6506499064507811,0.5813953488372093,0.33112582781456956,0.868597639596833,0.4219409282700422,0.38890917538051845
NR-AhR,10,0.8961708394698086,0.6982420428296306,0.5403225806451613,0.44370860927152317,0.8691243683370186,0.48727272727272725,0.43271250517112797
NR-AhR,11,0.9027982326951399,0.6614121816994684,0.6091954022988506,0.3509933774834437,0.8679227683984703,0.44537815126050423,0.4144536897644425
NR-AhR,12,0.9005891016200295,0.6572724230070724,0.5909090909090909,0.3443708609271523,0.8689048980286079,0.4351464435146443,0.40168118129392233
NR-AhR,13,0.9005891016200295,0.7036245521434019,0.5666666666666667,0.4503311258278146,0.8772008756865305,0.5018450184501845,0.4510776415975606
NR-AhR,14,0.9020618556701031,0.6465128911372403,0.6153846153846154,0.31788079470198677,0.8646910681071235,0.41921397379912667,0.39590925716047315
NR-AhR,15,0.9035346097201767,0.6618264319065934,0.6162790697674418,0.3509933774834437,0.861879104780612,0.4472573839662447,0.41776185375944247
NR-AhR,16,0.9027982326951399,0.6295450929182418,0.6461538461538462,0.2781456953642384,0.873047400099859,0.3888888888888889,0.3815374128116827
NR-AhR,17,0.8961708394698086,0.6924480266875894,0.5416666666666666,0.4304635761589404,0.8656128434024482,0.4797047970479704,0.42631893401149057
NR-AhR,18,0.9079528718703976,0.6845909896464882,0.6382978723404256,0.3973509933774834,0.8754231661884042,0.48979591836734687,0.45724097145252107
NR-AhR,19,0.898379970544919,0.6878967611669237,0.5575221238938053,0.41721854304635764,0.8758950273514872,0.4772727272727273,0.427727822680627
NR-ER,0,0.9040675364543361,0.6433016704880445,0.6197183098591549,0.30985915492957744,0.7074977860271014,0.4131455399061033,0.39346581177721157
NR-ER,1,0.9071373752877974,0.6357529327558806,0.6721311475409836,0.2887323943661972,0.7121683589911562,0.4039408866995074,0.40051038631851743
NR-ER,2,0.9025326170376056,0.6424403440453228,0.6027397260273972,0.30985915492957744,0.7236385583093738,0.4093023255813953,0.38601955516425435
NR-ER,3,0.9109746738296239,0.6409967124018876,0.7241379310344828,0.29577464788732394,0.7162141670002788,0.42000000000000004,0.4260892640296234
NR-ER,4,0.908672294704528,0.6427951862770074,0.6825396825396826,0.3028169014084507,0.7085532142033942,0.41951219512195115,0.4148802181092766
NR-ER,5,0.9079048349961627,0.6330931324380391,0.6896551724137931,0.28169014084507044,0.7207270323058073,0.4,0.4022048023806408
NR-ER,6,0.9056024558710668,0.6503439240091713,0.6301369863013698,0.323943661971831,0.7107065303101989,0.42790697674418604,0.4074386021505433
NR-ER,7,0.906369915579432,0.6353222695345198,0.6612903225806451,0.2887323943661972,0.7214124540524803,0.40196078431372556,0.3961665606272372
NR-ER,8,0.908672294704528,0.6335237956594,0.7017543859649122,0.28169014084507044,0.7106701362351544,0.40201005025125625,0.4068670294993648
NR-ER,9,0.9033000767459708,0.6366900801882787,0.6176470588235294,0.29577464788732394,0.7317241086484454,0.39999999999999997,0.3830357772097346
NR-ER,10,0.9071373752877974,0.6388433962950831,0.6666666666666666,0.29577464788732394,0.715577270686999,0.40975609756097564,0.4033986021503023
NR-ER,11,0.9056024558710668,0.6441629969307663,0.6376811594202898,0.30985915492957744,0.7296678434084265,0.4170616113744075,0.401200951709633
NR-ER,12,0.908672294704528,0.6489761133554124,0.6716417910447762,0.31690140845070425,0.7151344761072898,0.430622009569378,0.4203976510406693
NR-ER,13,0.9109746738296239,0.6440871759410901,0.7166666666666667,0.3028169014084507,0.720332763159491,0.42574257425742573,0.42845421301673536
NR-ER,14,0.9079048349961627,0.6330931324380391,0.6896551724137931,0.28169014084507044,0.7114162147735682,0.4,0.4022048023806408
NR-ER,15,0.9017651573292402,0.6605524620591767,0.5813953488372093,0.352112676056338,0.7364068129708483,0.4385964912280702,0.4030071328469773
NR-ER,16,0.9002302379125096,0.65351020853805,0.5714285714285714,0.3380281690140845,0.7182461695236015,0.4247787610619469,0.38957048277367773
NR-ER,17,0.9025326170376056,0.6331689534277153,0.6119402985074627,0.2887323943661972,0.7129508316046149,0.3923444976076555,0.37579121881771027
NR-ER,18,0.9048349961627015,0.6499132607878104,0.6216216216216216,0.323943661971831,0.7283394596692992,0.42592592592592593,0.4036812027081071
NR-ER,19,0.9033000767459708,0.6521423978842911,0.6025641025641025,0.33098591549295775,0.7405496718467566,0.42727272727272725,0.3996917543303262
NR-ER-LBD,0,0.9647058823529412,0.719913843950118,0.7045454545454546,0.4492753623188406,0.8091506572295247,0.5486725663716815,0.5458469926436695
NR-ER-LBD,1,0.9647058823529412,0.7061478345129761,0.725,0.42028985507246375,0.8091927873272665,0.5321100917431193,0.5358884259374824
NR-ER-LBD,2,0.9647058823529412,0.7267968486686889,0.6956521739130435,0.463768115942029,0.8219266093697337,0.5565217391304348,0.5509510317057168
NR-ER-LBD,3,0.9633217993079585,0.7123040950455005,0.6818181818181818,0.43478260869565216,0.8137955005055613,0.5309734513274336,0.526958875007469
NR-ER-LBD,4,0.9653979238754326,0.7065112066059993,0.7435897435897436,0.42028985507246375,0.8146802325581396,0.537037037037037,0.5434785628809854
NR-ER-LBD,5,0.9647058823529412,0.7267968486686889,0.6956521739130435,0.463768115942029,0.8131635490394338,0.5565217391304348,0.5509510317057168
