assay,round,accuracy,balanced_accuracy,precision,recall,AUC,F1,MCC
NR-AR,0,0.9751009421265141,0.7276311554554232,0.7272727272727273,0.46153846153846156,0.7915996137753459,0.5647058823529413,0.5677382685310176
NR-AR,1,0.9757738896366084,0.7187131209097737,0.7666666666666667,0.4423076923076923,0.7865840575045595,0.5609756097560975,0.5715309663572616
NR-AR,2,0.9771197846567967,0.7194104709795086,0.8214285714285714,0.4423076923076923,0.7407735221542753,0.575,0.5930698074935439
NR-AR,3,0.9771197846567967,0.7194104709795086,0.8214285714285714,0.4423076923076923,0.816972427851089,0.575,0.5930698074935439
NR-AR,4,0.9751009421265141,0.7276311554554232,0.7272727272727273,0.46153846153846156,0.7479213603690592,0.5647058823529413,0.5677382685310176
NR-AR,5,0.9757738896366084,0.7279798304902907,0.75,0.46153846153846156,0.790111039588027,0.5714285714285714,0.5772254581773028
NR-AR,6,0.9751009421265141,0.7276311554554232,0.7272727272727273,0.46153846153846156,0.7257000321853878,0.5647058823529413,0.5677382685310176
NR-AR,7,0.9757738896366084,0.7094464113292566,0.7857142857142857,0.4230769230769231,0.8084701212316275,0.55,0.5661368041949861
NR-AR,8,0.9751009421265141,0.7276311554554232,0.7272727272727273,0.46153846153846156,0.8102403175624933,0.5647058823529413,0.5677382685310176
NR-AR,9,0.9791386271870794,0.7204564960841111,0.92,0.4423076923076923,0.7865840575045596,0.5974025974025974,0.6299905447071779
NR-AR,10,0.9764468371467026,0.6634615384615384,1.0,0.3269230769230769,0.6986106640918357,0.4927536231884058,0.5649193706859742
NR-AR,11,0.9744279946164199,0.7272824804205558,0.7058823529411765,0.46153846153846156,0.7880994528484069,0.558139534883721,0.5586623923487458
NR-AR,12,0.9751009421265141,0.7276311554554232,0.7272727272727273,0.46153846153846156,0.7850954833172406,0.5647058823529413,0.5677382685310176
NR-AR,13,0.9757738896366084,0.7279798304902907,0.75,0.46153846153846156,0.8187158030254265,0.5714285714285714,0.5772254581773028
NR-AR,14,0.9751009421265141,0.7276311554554232,0.7272727272727273,0.46153846153846156,0.8011479454994098,0.5647058823529413,0.5677382685310176
NR-AR,15,0.9771197846567967,0.7194104709795086,0.8214285714285714,0.4423076923076923,0.7764858920716661,0.575,0.5930698074935439
NR-AR,16,0.9757738896366084,0.7279798304902907,0.75,0.46153846153846156,0.7756142044844974,0.5714285714285714,0.5772254581773028
NR-AR,17,0.9751009421265141,0.7276311554554232,0.7272727272727273,0.46153846153846156,0.7776794335371742,0.5647058823529413,0.5677382685310176
NR-AR,18,0.9757738896366084,0.7187131209097737,0.7666666666666667,0.4423076923076923,0.7491149018345672,0.5609756097560975,0.5715309663572616
NR-AR,19,0.9690444145356663,0.5576923076923077,1.0,0.11538461538461539,0.747304473768909,0.20689655172413793,0.33436258283237497
NR-AR-LBD,0,0.9848375451263538,0.830361565131253,0.7647058823529411,0.6666666666666666,0.9159903989027317,0.7123287671232877,0.7063292821161957
NR-AR-LBD,1,0.9797833935018051,0.8153122261591801,0.6410256410256411,0.6410256410256411,0.9187907189393074,0.6410256410256411,0.6306244523183602
NR-AR-LBD,2,0.9870036101083033,0.8065778946165276,0.8888888888888888,0.6153846153846154,0.9033794338400579,0.7272727272727274,0.733658408707872
NR-AR-LBD,3,0.9855595667870036,0.8556311197470188,0.7567567567567568,0.717948717948718,0.9025602926048693,0.736842105263158,0.7296906446180795
NR-AR-LBD,4,0.9826714801444043,0.8790433192364842,0.6666666666666666,0.7692307692307693,0.9287347125385759,0.7142857142857142,0.7073185036735581
NR-AR-LBD,5,0.9812274368231046,0.8285042100049529,0.6666666666666666,0.6666666666666666,0.9107898045490914,0.6666666666666666,0.6570084200099059
NR-AR-LBD,6,0.9812274368231046,0.8907494189812168,0.6326530612244898,0.7948717948717948,0.9232483712424278,0.7045454545454547,0.6998128309913024
NR-AR-LBD,7,0.9870036101083033,0.8314759782070331,0.8387096774193549,0.6666666666666666,0.8839867413418677,0.7428571428571428,0.7413899778978292
NR-AR-LBD,8,0.9848375451263538,0.8677086905170115,0.725,0.7435897435897436,0.9249628528974739,0.7341772151898733,0.7264363798916481
NR-AR-LBD,9,0.9805054151624548,0.8405817807749457,0.6428571428571429,0.6923076923076923,0.9138758715281747,0.6666666666666666,0.6571183416639935
NR-AR-LBD,10,0.9826714801444043,0.8416961938507258,0.6923076923076923,0.6923076923076923,0.9048843677372653,0.6923076923076923,0.6833923877014516
NR-AR-LBD,11,0.9848375451263538,0.8179125233360003,0.78125,0.6410256410256411,0.9453461347963577,0.7042253521126761,0.7001137027344522
NR-AR-LBD,12,0.9855595667870036,0.8805292033375243,0.7317073170731707,0.7692307692307693,0.9267725835333562,0.7499999999999999,0.7428160146531556
NR-AR-LBD,13,0.984115523465704,0.7801939269249819,0.8148148148148148,0.5641025641025641,0.8975120966205662,0.6666666666666667,0.6705200673861954
NR-AR-LBD,14,0.9826714801444043,0.8665942774412314,0.6744186046511628,0.7435897435897436,0.9252295500438146,0.7073170731707318,0.6992943586800401
NR-AR-LBD,15,0.9826714801444043,0.8167981102602202,0.7142857142857143,0.6410256410256411,0.8958928639463557,0.6756756756756757,0.6678308928696755
