assay,round,accuracy,balanced_accuracy,precision,recall,AUC,F1,MCC
0,NR-AR,0.9765415549597856,0.7511668998012221,0.6666666666666666,0.5106382978723404,0.7940661120518295,0.5783132530120482,0.5717988997425033
0,NR-AR-LBD,0.977110157367668,0.7211836779690379,0.7777777777777778,0.44680851063829785,0.9396034458320864,0.5675675675675675,0.57937408438577
0,NR-AhR,0.919970631424376,0.7608046549018106,0.6666666666666666,0.5562913907284768,0.9119659194688862,0.6064981949458483,0.5652119970015528
0,NR-ER,0.9033778476040848,0.6960339342523859,0.5,0.4390243902439024,0.7701413927182751,0.4675324675324676,0.41570752602127614
0,NR-ER-LBD,0.975,0.8652781698351723,0.676923076923077,0.7457627118644068,0.9698695369358976,0.7096774193548386,0.6975390596888704
0,NR-PPAR-gamma,0.9755555555555556,0.6065848788621067,0.6666666666666666,0.21621621621621626,0.8695992260348697,0.326530612244898,0.3708003513147258
0,SR-ARE,0.8970588235294118,0.7082712308123835,0.7196261682242991,0.44508670520231214,0.8652590706346283,0.5499999999999999,0.5137658264156589
0,SR-ATAD5,0.959726962457338,0.5848051536353961,0.6111111111111112,0.1746031746031746,0.8958290876978465,0.2716049382716049,0.3123388481493499
0,SR-HSE,0.9514348785871964,0.6017518152392617,0.6,0.2112676056338028,0.8057803341789869,0.3125,0.3369856039173421
0,SR-MMP,0.9111111111111112,0.8031181318681321,0.7080745341614907,0.6514285714285715,0.9214010989010988,0.6785714285714286,0.6278333218835247
0,SR-p53,0.946099290780142,0.6831746645120494,0.5892857142857143,0.38372093023255816,0.8819556664090495,0.4647887323943662,0.4489368685809757
0,NR-Aromatase,0.9584026622296172,0.645286303101959,0.5517241379310345,0.3018867924528302,0.8335550191306633,0.3902439024390244,0.38878062430627136
1,NR-AR,0.9812332439678284,0.7330044909077523,0.88,0.4680851063829787,0.7670175955238167,0.6111111111111112,0.6341501194303456
1,NR-AR-LBD,0.977110157367668,0.7314518796163598,0.7586206896551724,0.4680851063829787,0.9402491456289274,0.5789473684210527,0.585418696213237
1,NR-AhR,0.9170337738619676,0.7707466326882167,0.6376811594202898,0.5827814569536424,0.9118784213145504,0.6089965397923874,0.5634084454364768
1,NR-ER,0.91987431264729,0.6761223047013079,0.647887323943662,0.3739837398373984,0.7724178154825028,0.4742268041237113,0.4534865630280139
1,NR-ER-LBD,0.9770833333333332,0.8095767007449772,0.7708333333333334,0.6271186440677966,0.9681635758907202,0.6915887850467289,0.6837240743818563
1,NR-PPAR-gamma,0.9777777777777776,0.6208600069986209,0.8181818181818182,0.2432432432432433,0.8601510878738602,0.375,0.4389946269159847
1,SR-ARE,0.8864379084967321,0.7141588247911429,0.6307692307692307,0.4739884393063584,0.8448051126645143,0.5412541254125413,0.4842950644216937
1,SR-ATAD5,0.9610921501706484,0.6537372913977764,0.5882352941176471,0.31746031746031744,0.8939723297783213,0.4123711340206185,0.4142802475078729
1,SR-HSE,0.9573215599705666,0.6248195695914618,0.7826086956521741,0.2535211267605634,0.8188041291225615,0.3829787234042553,0.43065811499996937
1,SR-MMP,0.9061728395061728,0.7812225274725275,0.7019867549668874,0.6057142857142858,0.9160989010989012,0.6503067484662577,0.5986272868825597
1,SR-p53,0.949645390070922,0.6415724021639851,0.7142857142857143,0.2906976744186047,0.8615541347572543,0.41322314049586784,0.4355283637930301
1,NR-Aromatase,0.961730449251248,0.5930341396127888,0.7692307692307693,0.18867924528301888,0.8000394108084141,0.30303030303030304,0.3693241329656828
2,NR-AR,0.9805630026809652,0.7326584701465066,0.8461538461538461,0.4680851063829787,0.7821541632923507,0.6027397260273972,0.6211236375071365
2,NR-AR-LBD,0.977110157367668,0.7314518796163598,0.7586206896551724,0.4680851063829787,0.9385797754224608,0.5789473684210527,0.585418696213237
2,NR-AhR,0.919970631424376,0.7752965367136787,0.6544117647058824,0.5894039735099338,0.8989177572035589,0.6202090592334495,0.5766026041899266
2,NR-ER,0.9190887666928516,0.6502757158006363,0.6724137931034483,0.3170731707317073,0.7712159773771651,0.4309392265193371,0.4258122400057116
