assay,round,accuracy,balanced_accuracy,precision,recall,AUC,F1,MCC
TA100,0,0.8401287553648069,0.8067693744164333,0.6928838951310862,0.7341269841269841,0.8872899159663866,0.7129094412331406,0.6027403552873604
TA100_S9,0,0.8163265306122449,0.7886039886039886,0.7385159010600707,0.7037037037037037,0.8817577484244152,0.7206896551724138,0.5843618472843671
TA1535,0,0.9141716566866267,0.7643659711075441,0.6274509803921569,0.5714285714285714,0.9032102728731943,0.5981308411214953,0.5509576558950501
TA1535_S9,0,0.915948275862069,0.7717715649818666,0.6458333333333334,0.5849056603773585,0.8425377588027361,0.6138613861386139,0.5677087299503408
TA97,0,0.8726415094339622,0.69375,0.6086956521739131,0.4375,0.8057291666666667,0.5090909090909091,0.44605470887843945
TA97_S9,0,0.8725490196078431,0.7411585365853659,0.75,0.525,0.8661585365853658,0.6176470588235295,0.5564795454272652
TA98,0,0.8792325056433409,0.8134881149806523,0.7914438502673797,0.6851851851851852,0.894796849087894,0.7344913151364766,0.6597143970727684
TA98_S9,0,0.8576642335766423,0.8137783542339165,0.7685185185185185,0.7124463519313304,0.9058198590759052,0.7394209354120267,0.6425773256376952
TA1537,0,0.9390243902439024,0.795889220069548,0.7714285714285715,0.6136363636363636,0.9193989071038251,0.6835443037974683,0.6555055357450655
TA1537_S9,0,0.9147869674185464,0.7749207188160676,0.7441860465116279,0.5818181818181818,0.9182346723044398,0.6530612244897959,0.611278056217041
TA102,0,0.8306010928961749,0.5914688759516346,0.4375,0.2413793103448276,0.819525302283923,0.3111111111111111,0.2365072564946261
TA102_S9,0,0.8650306748466258,0.5761390887290168,0.6666666666666666,0.16666666666666666,0.8045563549160671,0.26666666666666666,0.28656638153894437
TA100,1,0.842274678111588,0.8107376283846872,0.6951672862453532,0.7420634920634921,0.884016106442577,0.7178502879078694,0.6091800398690888
TA100_S9,1,0.8129251700680272,0.7918414918414918,0.72,0.7272727272727273,0.8813260813260814,0.7236180904522613,0.5822521091107445
TA1535,1,0.9241516966067864,0.7465690208667737,0.725,0.5178571428571429,0.894422150882825,0.6041666666666666,0.5732737642977223
TA1535_S9,1,0.9267241379310345,0.7696368727907084,0.7317073170731707,0.5660377358490566,0.8587889638709085,0.6382978723404255,0.6043743313796989
TA97,1,0.8726415094339622,0.7194444444444444,0.5925925925925926,0.5,0.8192708333333333,0.5423728813559322,0.4713006965502926
TA97_S9,1,0.8578431372549019,0.7603658536585366,0.6486486486486487,0.6,0.8724085365853658,0.6233766233766234,0.5365458557134115
TA98,1,0.8860045146726863,0.8320826423438363,0.7889447236180904,0.7268518518518519,0.8976368159203981,0.7566265060240964,0.6833379522172927
TA98_S9,1,0.8625304136253041,0.8327382557182101,0.7542372881355932,0.7639484978540773,0.9069711520945518,0.7590618336886994,0.662923675671787
TA1537,1,0.9390243902439024,0.8158842523596621,0.7435897435897436,0.6590909090909091,0.9184053651266767,0.6987951807228915,0.6665083491096601
TA1537_S9,1,0.9373433583959899,0.8338266384778013,0.8260869565217391,0.6909090909090909,0.9281712473572938,0.7524752475247525,0.7206846672512083
TA102,1,0.8306010928961749,0.5634796238244515,0.4166666666666667,0.1724137931034483,0.7888490819525302,0.2439024390243903,0.18729881138195076
TA102_S9,1,0.8711656441717791,0.6314448441247003,0.6363636363636364,0.2916666666666667,0.8327338129496402,0.4,0.37133718072811267
