assay,round,accuracy,balanced_accuracy,precision,recall,AUC,F1,MCC
NR-AR,0,0.9757738896366084,0.7279798304902907,0.75,0.46153846153846156,0.7763920180238173,0.5714285714285714,0.5772254581773028
NR-AR-LBD,0,0.9862815884476535,0.8186554653865203,0.8333333333333334,0.6410256410256411,0.8815483674324686,0.7246376811594204,0.7242290244988089
NR-AhR,0,0.9086892488954345,0.6907992559956545,0.6391752577319587,0.4105960264900662,0.8789072573344233,0.5,0.4658063137030469
NR-ER,0,0.9117421335379893,0.6630606203976659,0.6901408450704225,0.34507042253521125,0.7690644296441873,0.460093896713615,0.44771829354924403
NR-ER-LBD,0,0.9695501730103806,0.7293404533198518,0.8205128205128205,0.463768115942029,0.8525025278058646,0.5925925925925926,0.6035586253609434
NR-PPAR-gamma,0,0.9630450849963045,0.626396533311427,0.30303030303030304,0.2702702702702703,0.8078329088967386,0.2857142857142857,0.2672698866517736
SR-ARE,0,0.8641171684296176,0.7002988703713084,0.5751633986928104,0.4631578947368421,0.8228559850058255,0.5131195335276969,0.4386733172930664
SR-ATAD5,0,0.9596994535519126,0.627536525974026,0.45454545454545453,0.26785714285714285,0.8282391436688312,0.33707865168539325,0.3295969108512699
SR-HSE,0,0.947985347985348,0.5725219128641402,0.5238095238095238,0.1527777777777778,0.7775951705766091,0.23655913978494628,0.2634240820077208
SR-MMP,0,0.8808545603944125,0.7397621701969528,0.6163522012578616,0.5384615384615384,0.8714338801295323,0.5747800586510263,0.5074288196009744
SR-p53,0,0.9390503189227498,0.6238757509462791,0.5111111111111111,0.26436781609195403,0.8678421363336459,0.34848484848484845,0.3391472564755784
NR-Aromatase,0,0.9505766062602965,0.6401689107531315,0.5142857142857142,0.29508196721311475,0.7883212716647946,0.37499999999999994,0.36599094494717627
NR-AR,1,0.9744279946164199,0.7180157708400385,0.71875,0.4423076923076923,0.7460036476772879,0.5476190476190477,0.551997310211083
NR-AR-LBD,1,0.984115523465704,0.7552958433344763,0.8695652173913043,0.5128205128205128,0.8848249323732237,0.6451612903225806,0.6609614054535047
NR-AhR,1,0.9094256259204713,0.7172865788419649,0.6228070175438597,0.47019867549668876,0.8788414162419002,0.5358490566037736,0.49265442795233544
NR-ER,1,0.8940905602455871,0.6964218558552001,0.5163934426229508,0.44366197183098594,0.7719274302143612,0.47727272727272724,0.4202185536769826
NR-ER-LBD,1,0.9688581314878892,0.7358600859453994,0.7857142857142857,0.4782608695652174,0.8548302157061004,0.5945945945945946,0.5987764756580992
