assay,round,accuracy,balanced_accuracy,precision,recall,AUC,F1,MCC
TA100,0,0.8293991416309013,0.743218954248366,0.7486631016042781,0.5555555555555556,0.8749241363211953,0.6378132118451024,0.5394897523040354
TA100_S9,0,0.800453514739229,0.7484589484589484,0.7641921397379913,0.5892255892255892,0.8728826728826728,0.6653992395437263,0.5356319376482799
TA1535,0,0.9201596806387226,0.697491974317817,0.7666666666666667,0.4107142857142857,0.8935393258426967,0.5348837209302325,0.5245445573729044
TA1535_S9,0,0.9181034482758621,0.6990313547261626,0.7586206896551724,0.41509433962264153,0.8857824909332966,0.5365853658536586,0.5230783113745482
TA97,0,0.8773584905660378,0.6708333333333334,0.6666666666666666,0.375,0.8277777777777776,0.4800000000000001,0.438810221029756
TA97_S9,0,0.8431372549019608,0.6756097560975609,0.6666666666666666,0.4,0.8542682926829268,0.5,0.43280142464036747
TA98,0,0.8668171557562077,0.7817509673852957,0.7916666666666666,0.6157407407407407,0.8826768933112217,0.6927083333333333,0.6172240294721846
TA98_S9,0,0.8454987834549879,0.798804258326836,0.7453703703703703,0.6909871244635193,0.9036557196674366,0.7171492204899776,0.6119123215927027
TA1537,0,0.9439024390243902,0.7786264282165922,0.8620689655172413,0.5681818181818182,0.9314456035767511,0.6849315068493151,0.6727561823954825
TA1537_S9,0,0.9022556390977443,0.7141913319238901,0.7352941176470589,0.45454545454545453,0.9246828752642706,0.5617977528089887,0.5289401845335293
TA102,0,0.8415300546448088,0.6119570085087327,0.5,0.27586206896551724,0.7895208240035826,0.35555555555555557,0.2894825660888936
TA102_S9,0,0.8466257668711656,0.5481115107913669,0.42857142857142855,0.125,0.8411270983213429,0.19354838709677416,0.16818245676038113
TA100,1,0.8358369098712446,0.7551237161531279,0.7564766839378239,0.5793650793650794,0.8764239028944911,0.6561797752808989,0.5592869435943295
TA100_S9,1,0.7947845804988662,0.745014245014245,0.7457627118644068,0.5925925925925926,0.8702063368730035,0.6604127579737336,0.5231247016614563
TA1535,1,0.9201596806387226,0.697491974317817,0.7666666666666667,0.4107142857142857,0.8955056179775281,0.5348837209302325,0.5245445573729044
TA1535_S9,1,0.9181034482758621,0.6990313547261626,0.7586206896551724,0.41509433962264153,0.8840380112932104,0.5365853658536586,0.5230783113745482
TA97,1,0.8773584905660378,0.6708333333333334,0.6666666666666666,0.375,0.8260416666666666,0.4800000000000001,0.438810221029756
TA97_S9,1,0.8431372549019608,0.6756097560975609,0.6666666666666666,0.4,0.8489329268292682,0.5,0.43280142464036747
TA98,1,0.8679458239277652,0.785634328358209,0.7894736842105263,0.625,0.8843629076838031,0.6976744186046512,0.6215178376915583
TA98_S9,1,0.8454987834549879,0.7975072320146899,0.7476635514018691,0.6866952789699571,0.9035172730386121,0.7158836689038031,0.6110889836511024
TA1537,1,0.9463414634146341,0.7799925484351714,0.8928571428571429,0.5681818181818182,0.9315076999503229,0.6944444444444445,0.6871200999446992
