assay,round,accuracy,balanced_accuracy,precision,recall,AUC,F1,MCC
NR-AR,0,0.9764468371467026,0.7283285055251583,0.7741935483870968,0.46153846153846156,0.7918812359188928,0.5783132530120482,0.5871567171865705
NR-AR-LBD,0,0.9855595667870036,0.8058349525660076,0.8275862068965517,0.6153846153846154,0.9067131481693146,0.7058823529411765,0.7067130369877548
NR-AhR,0,0.9027982326951399,0.6266480848472212,0.6507936507936508,0.271523178807947,0.8848219821460904,0.383177570093458,0.37858689127570727
NR-ER,0,0.9132770529547198,0.6268363843699579,0.8222222222222222,0.2605633802816901,0.7869248219723162,0.3957219251336898,0.43289996799563335
NR-ER-LBD,0,0.9640138408304498,0.6231884057971014,1.0,0.2463768115942029,0.8438342601954837,0.39534883720930236,0.4872423493194371
NR-PPAR-gamma,0,0.9726533628972653,0.5,0.0,0.0,0.8115912264848436,0.0,0.0
SR-ARE,0,0.8608624898291294,0.5951572868649004,0.6557377049180327,0.21052631578947367,0.8224608682437566,0.31872509960159356,0.31678913781095397
SR-ATAD5,0,0.9617486338797814,0.5085734577922078,0.5,0.017857142857142856,0.8133370535714286,0.03448275862068965,0.0890415408021251
SR-HSE,0,0.9472527472527472,0.5,0.0,0.0,0.8032461115407751,0.0,0.0
SR-MMP,0,0.8701725554642563,0.6293305728088336,0.65,0.2857142857142857,0.8585178106917237,0.3969465648854962,0.37223040067404933
SR-p53,0,0.9411764705882353,0.5337274716116261,0.75,0.06896551724137931,0.8472236691322013,0.12631578947368421,0.21609442909248444
NR-Aromatase,0,0.9538714991762768,0.5487466765245332,0.8571428571428571,0.09836065573770492,0.7882786174342058,0.17647058823529413,0.2812884651004829
NR-AR,1,0.9764468371467026,0.7283285055251583,0.7741935483870968,0.46153846153846156,0.8016307263169187,0.5783132530120482,0.5871567171865705
NR-AR-LBD,1,0.9848375451263538,0.7930144397454948,0.8214285714285714,0.5897435897435898,0.9092658208557169,0.6865671641791046,0.6888186741853372
NR-AhR,1,0.9020618556701031,0.6262338346400961,0.640625,0.271523178807947,0.8879768678294935,0.38139534883720927,0.3745335735016315
NR-ER,1,0.9132770529547198,0.6268363843699579,0.8222222222222222,0.2605633802816901,0.789029612645728,0.3957219251336898,0.43289996799563335
NR-ER-LBD,1,0.9647058823529412,0.6304347826086957,1.0,0.2608695652173913,0.8489214694978093,0.41379310344827586,0.5015438825368249
NR-PPAR-gamma,1,0.9726533628972653,0.5,0.0,0.0,0.809619650045182,0.0,0.0
SR-ARE,1,0.8608624898291294,0.5973076338584671,0.6507936507936508,0.21578947368421053,0.822470999442784,0.32411067193675885,0.319037646068162
SR-ATAD5,1,0.9617486338797814,0.5085734577922078,0.5,0.017857142857142856,0.8176491477272727,0.03448275862068965,0.0890415408021251
SR-HSE,1,0.9472527472527472,0.5,0.0,0.0,0.8098199707828478,0.0,0.0
SR-MMP,1,0.8726376335250616,0.639836492010405,0.6588235294117647,0.3076923076923077,0.8597972076232946,0.41947565543071164,0.3913124889142927
SR-p53,1,0.9404677533664068,0.5279803451748446,0.7142857142857143,0.05747126436781609,0.845140118762371,0.10638297872340424,0.19158173783130167
NR-Aromatase,1,0.9538714991762768,0.5487466765245332,0.8571428571428571,0.09836065573770492,0.784510827065531,0.17647058823529413,0.2812884651004829
NR-AR,2,0.9764468371467026,0.7283285055251583,0.7741935483870968,0.46153846153846156,0.7882737903658406,0.5783132530120482,0.5871567171865705
NR-AR-LBD,2,0.9855595667870036,0.8058349525660076,0.8275862068965517,0.6153846153846154,0.9040271269097422,0.7058823529411765,0.7067130369877548
NR-AhR,2,0.9013254786450663,0.6229225763619504,0.6349206349206349,0.26490066225165565,0.8860949099348722,0.37383177570093457,0.36745029432233545
NR-ER,2,0.9140445126630852,0.6303575111305213,0.8260869565217391,0.2676056338028169,0.7877012289066005,0.40425531914893614,0.44023015036820506
NR-ER-LBD,2,0.9640138408304498,0.6231884057971014,1.0,0.2463768115942029,0.8481947253117627,0.39534883720930236,0.4872423493194371
NR-PPAR-gamma,2,0.9726533628972653,0.5,0.0,0.0,0.8046290971822887,0.0,0.0
SR-ARE,2,0.8608624898291294,0.5973076338584671,0.6507936507936508,0.21578947368421053,0.8228407882072843,0.32411067193675885,0.319037646068162
SR-ATAD5,2,0.9617486338797814,0.5085734577922078,0.5,0.017857142857142856,0.8191964285714286,0.03448275862068965,0.0890415408021251
SR-HSE,2,0.9472527472527472,0.5,0.0,0.0,0.8004855203231074,0.0,0.0
SR-MMP,2,0.8709942481511914,0.6320778255560864,0.654320987654321,0.29120879120879123,0.8588363327493763,0.40304182509505704,0.37794978253789513
SR-p53,2,0.9411764705882353,0.5283579886793763,0.8333333333333334,0.05747126436781609,0.8494200784803972,0.1075268817204301,0.20965018598738944
NR-Aromatase,2,0.9538714991762768,0.5487466765245332,0.8571428571428571,0.09836065573770492,0.7901980578107004,0.17647058823529413,0.2812884651004829
NR-AR,3,0.9764468371467026,0.7283285055251583,0.7741935483870968,0.46153846153846156,0.7877910095483318,0.5783132530120482,0.5871567171865705
NR-AR-LBD,3,0.9855595667870036,0.8058349525660076,0.8275862068965517,0.6153846153846154,0.9067893473539833,0.7058823529411765,0.7067130369877548
NR-AhR,3,0.9020618556701031,0.6291308427111166,0.6363636363636364,0.2781456953642384,0.8868356222257581,0.3870967741935483,0.37757120417612655
NR-ER,3,0.9132770529547198,0.6237459208307554,0.8372093023255814,0.2535211267605634,0.786967281726535,0.38918918918918916,0.4317195036753502
NR-ER-LBD,3,0.9647058823529412,0.6304347826086957,1.0,0.2608695652173913,0.843886922817661,0.41379310344827586,0.5015438825368249
NR-PPAR-gamma,3,0.9726533628972653,0.5,0.0,0.0,0.8052246775651031,0.0,0.0
SR-ARE,3,0.8600488201790073,0.598976748898232,0.6363636363636364,0.22105263157894736,0.8215136011346943,0.328125,0.3174577465848849
SR-ATAD5,3,0.9617486338797814,0.5085734577922078,0.5,0.017857142857142856,0.8189935064935066,0.03448275862068965,0.0890415408021251
SR-HSE,3,0.9472527472527472,0.5,0.0,0.0,0.809046575577898,0.0,0.0
SR-MMP,3,0.8734593262119967,0.6403195837978446,0.6666666666666666,0.3076923076923077,0.8584169453734672,0.42105263157894735,0.3948203729872117
SR-p53,3,0.9404677533664068,0.5279803451748446,0.7142857142857143,0.05747126436781609,0.8470413584748412,0.10638297872340424,0.19158173783130167
NR-Aromatase,3,0.9538714991762768,0.5487466765245332,0.8571428571428571,0.09836065573770492,0.7897146431973611,0.17647058823529413,0.2812884651004829
NR-AR,4,0.9757738896366084,0.7279798304902907,0.75,0.46153846153846156,0.7891857096878018,0.5714285714285714,0.5772254581773028
NR-AR-LBD,4,0.9848375451263538,0.7930144397454948,0.8214285714285714,0.5897435897435898,0.9030555873052157,0.6865671641791046,0.6888186741853372
NR-AhR,4,0.9042709867452136,0.6390646175455538,0.6521739130434783,0.2980132450331126,0.8874885463932798,0.4090909090909091,0.39814177294551784
NR-ER,4,0.9125095932463546,0.6233152576093945,0.8181818181818182,0.2535211267605634,0.7846077325278111,0.38709677419354843,0.42546896708504445
NR-ER-LBD,4,0.9640138408304498,0.6231884057971014,1.0,0.2463768115942029,0.844834850016852,0.39534883720930236,0.4872423493194371
NR-PPAR-gamma,4,0.9726533628972653,0.5,0.0,0.0,0.7989813521728416,0.0,0.0
SR-ARE,4,0.8584214808787632,0.5937135910034952,0.625,0.21052631578947367,0.8218327339040574,0.31496062992125984,0.3049749720228464
SR-ATAD5,4,0.9617486338797814,0.5085734577922078,0.5,0.017857142857142856,0.822075385551948,0.03448275862068965,0.0890415408021251
SR-HSE,4,0.9472527472527472,0.5,0.0,0.0,0.8020108275328692,0.0,0.0
