assay,round,accuracy,balanced_accuracy,precision,recall,AUC,F1,MCC
NR-AR,0,0.9805630026809652,0.7223661930354119,0.875,0.44680851063829785,0.7995950820879041,0.591549295774648,0.6174658745052749
NR-AR,1,0.9812332439678284,0.7330044909077523,0.88,0.4680851063829787,0.7743576529485385,0.6111111111111112,0.6341501194303456
NR-AR,2,0.9792225201072386,0.7216741515129206,0.8076923076923077,0.44680851063829785,0.8292718839726128,0.5753424657534246,0.5917990230156281
NR-AR,3,0.9785522788203752,0.7110358536405801,0.8,0.425531914893617,0.836207023485239,0.5555555555555557,0.5743597956798274
NR-AR,4,0.9792225201072386,0.7216741515129206,0.8076923076923077,0.44680851063829785,0.7872045939777663,0.5753424657534246,0.5917990230156281
NR-AR,5,0.979892761394102,0.7117278951630714,0.8695652173913043,0.425531914893617,0.798277258337628,0.5714285714285714,0.6003660319853561
NR-AR,6,0.9805630026809652,0.7326584701465066,0.8461538461538461,0.4680851063829787,0.8182949274828829,0.6027397260273972,0.6211236375071365
NR-AR,7,0.9805630026809652,0.7326584701465066,0.8461538461538461,0.4680851063829787,0.8204078627696385,0.6027397260273972,0.6211236375071365
NR-AR,8,0.9812332439678284,0.7330044909077523,0.88,0.4680851063829787,0.8066921887653684,0.6111111111111112,0.6341501194303456
NR-AR,9,0.979892761394102,0.732312449385261,0.8148148148148148,0.4680851063829787,0.8227195759405138,0.5945945945945945,0.6088140096214186
NR-AR,10,0.9805630026809652,0.7223661930354119,0.875,0.44680851063829785,0.8117573437384966,0.591549295774648,0.6174658745052749
NR-AR,11,0.9805630026809652,0.7223661930354119,0.875,0.44680851063829785,0.7888463520577191,0.591549295774648,0.6174658745052749
NR-AR,12,0.9792225201072386,0.7113818744018258,0.8333333333333334,0.425531914893617,0.8273650887138335,0.5633802816901409,0.5869646466956513
NR-AR,13,0.9812332439678284,0.7330044909077523,0.88,0.4680851063829787,0.8128395788853714,0.6111111111111112,0.6341501194303456
NR-AR,14,0.979892761394102,0.7220201722741661,0.84,0.44680851063829785,0.8381727158948686,0.5833333333333334,0.6042549575550865
NR-AR,15,0.979892761394102,0.7220201722741661,0.84,0.44680851063829785,0.8091364205256569,0.5833333333333334,0.6042549575550865
NR-AR,16,0.979892761394102,0.7220201722741661,0.84,0.44680851063829785,0.8108002650371788,0.5833333333333334,0.6042549575550865
NR-AR,17,0.979892761394102,0.7220201722741661,0.84,0.44680851063829785,0.7925863211367149,0.5833333333333334,0.6042549575550865
NR-AR,18,0.979892761394102,0.7220201722741661,0.84,0.44680851063829785,0.7905396451446662,0.5833333333333334,0.6042549575550865
NR-AR,19,0.9805630026809652,0.7223661930354119,0.875,0.44680851063829785,0.7895752042994921,0.591549295774648,0.6174658745052749
NR-AR-LBD,0,0.9763948497854076,0.7413499850386632,0.71875,0.4893617021276596,0.8038175031891271,0.5822784810126582,0.5817729661187893
