,MCC,AUC
XGB,0.3313072363489115,0.8226337833289705
XGB-FN_sim1,0.5378980715300958,0.9274559664933997
XGB-FN_sim3,0.666005483796621,0.9252795333009236
XGB-FN_sim5,0.6578999817044775,0.9248494820687334
XGB-FN_sim10,0.6564587722228052,0.9257058449571818
XGB-FN_sim20,0.6648492551230474,
XGB-FN_random1,,
XGB-FN_random3,,
XGB-FN_random5,,
XGB-FN_random10,,
XGB-FN_random20,,
XGB-FN_all,0.6926631286410553,0.9400957331438615
Macau_sim1,0.5241055510413102,0.9194944093339816
Macau_sim3,0.6688092726227844,0.9151938970120788
Macau_sim5,0.6715526376441676,0.9153490894132604
Macau_sim10,0.6928536472289347,0.915532328633933
Macau_sim20,0.7092136223075631,
Macau_random1,,
Macau_random3,,
Macau_random5,,
Macau_random10,,
Macau_random20,,
Macau_all,0.6583976147385467,0.9305916009124564
