,XGB_AUC,XGB_MCC,XGB-ghost_MCC,XGB-FN_AUC,XGB-FN_MCC,XGB-FN-ghost_AUC,XGB-FN-ghost_MCC,DNN-MT_AUC,DNN-MT_MCC,DNN-MT-ghost_MCC,Macau_AUC,Macau_MCC,Macau-ghost_MCC
ACEA_T47D_80hr_Negative,0.7148368659204573,0.3548404833604303,0.24666991524786158,0.8969754703500833,0.5956148028913842,0.8940700166706359,0.606157470122334,0.8576804000952608,0.5932669189642527,0.48534796947307707,0.9248392474398667,0.6755736494309099,0.6124603781938426
ACEA_T47D_80hr_Positive,0.6269805194805196,0.3537420083621026,0.2530427860102674,0.7107142857142859,0.3736403396622116,0.7047402597402598,0.32581322852019023,0.6889935064935064,0.30109689579824744,0.14522934669254514,0.74,0.3856242203771188,0.27685999947726325
APR_HepG2_CellCycleArrest_24h_dn,0.5710637548432546,0.09481714758350299,0.05050087608147173,0.9073617470940472,0.3952325350028091,0.9124691792884819,0.5348871489053622,0.811377245508982,0.15480403294919504,0.4540746264114702,0.9174004931313843,0.47069808967280885,0.595928838268333
APR_HepG2_CellCycleArrest_72h_dn,0.6429983060417842,0.054111613016472986,0.14778405047077958,0.9160079051383399,0.6047430830039525,0.9072557876905702,0.6049516811141538,0.814652738565782,0.3774468125752052,0.38926012519679837,0.9267363071710898,0.6053889931372801,0.6700732846205569
APR_HepG2_CellLoss_24h_dn,0.6989326463010673,0.1943172122223201,0.24309042315524473,0.9656483867010184,0.7574164538237643,0.9586553797080113,0.6925771857667842,0.8897067844436266,0.6132342972267231,0.6354058618205889,0.9639308060360692,0.7710376567867997,0.7320659728140405
APR_HepG2_CellLoss_72h_dn,0.6275191815856778,0.20767305044598436,0.22929709370528292,0.9781074168797953,0.8158567774936062,0.9818925831202047,0.8252035789388315,0.8951406649616367,0.6702961169771223,0.6817218525856618,0.9742199488491048,0.8567774936061381,0.8787138388537753
APR_HepG2_MicrotubuleCSK_24h_dn,0.5712918660287081,0.0,0.046314149085156665,0.9157894736842106,0.1223385702339457,0.9234449760765551,0.3709745398951237,0.8205741626794258,0.0,0.3012801319340538,0.9344497607655501,0.6004813429320033,0.4501296214161423
APR_HepG2_MicrotubuleCSK_24h_up,0.6798724954462659,0.08006907367244843,0.12542204025469364,0.928354584092289,0.5693111982613448,0.9134790528233151,0.475578153816548,0.7821797207043109,0.0,0.2714734084874387,0.8870673952641166,0.38178398438222644,0.2763791066690255
APR_HepG2_MicrotubuleCSK_72h_dn,0.6079241614000972,-0.017279947800812524,0.08988968316207743,0.8274185707340788,0.21437323142813605,0.8264462809917354,0.2028847643439634,0.7442877977637335,0.0,0.16237712312433425,0.8590179873602334,0.3825674028697353,0.25169111285381685
APR_HepG2_MicrotubuleCSK_72h_up,0.5454545454545455,-0.07294682725762576,0.06322206192996377,0.8927272727272727,0.250195270059554,0.8937662337662338,0.30771334807871054,0.7477922077922078,0.0,0.1695811891326032,0.8792207792207793,0.19311911019772784,0.4065378935056824
APR_HepG2_MitoMass_24h_dn,0.4940814393939394,-0.04556976628693896,0.1285166001593433,0.9573863636363638,0.636572388047428,0.9500473484848485,0.5435295789403037,0.7535511363636364,-0.02617717333551063,0.2566592632658138,0.9528882575757576,0.529043268444822,0.6279729326221805
APR_HepG2_MitoMass_72h_dn,0.6258169934640523,-0.031123318728261753,0.3156844597280752,0.8689542483660131,0.4230571077487799,0.8738562091503268,0.4142646844561716,0.8248366013071895,0.0,0.32733448497857354,0.9098039215686274,0.2952257177159054,0.3793592100916626
APR_HepG2_MitoMass_72h_up,0.6741347905282332,0.16195526603578322,0.1147371297044391,0.7245901639344263,0.16195526603578322,0.7595628415300546,0.17207747016301966,0.6741347905282332,0.0,0.11305150871001549,0.7759562841530054,0.0,0.210386061995483
APR_HepG2_MitoMembPot_24h_dn,0.7183265582655826,0.21246812391342154,0.2860232424540519,0.7994579945799458,0.2935887031497963,0.8026761517615176,0.3907235083558873,0.8052168021680216,0.21195010542025108,0.30868905501702953,0.7957317073170732,0.2935887031497963,0.345807657602238
APR_HepG2_MitoMembPot_72h_dn,0.5259391771019678,0.05045986630792859,0.03228824136376766,0.7967352415026834,0.13052672653350317,0.7929338103756708,0.3076252162990562,0.7238372093023256,0.0,0.2754730870982022,0.8043381037567084,0.12804631439390488,0.3102795323758093
APR_HepG2_MitoticArrest_24h_up,0.6780181009357263,0.14928555430262705,0.2281373077507605,0.9829728485964105,0.8365628563812795,0.978217518024237,0.7216242572153945,0.8505905813775119,0.35244219929649206,0.45732611435008547,0.9765301426599172,0.7816658210362413,0.759123918065253
APR_HepG2_MitoticArrest_72h_up,0.6908831908831908,0.23871464551778548,0.26094782533357563,0.9377104377104377,0.6829853674177722,0.934990934990935,0.7010174982729765,0.8286713286713286,0.2647050153849748,0.5268593047730354,0.9311059311059311,0.6233688050997337,0.68130100813403
APR_HepG2_NuclearSize_24h_dn,0.7900432900432901,-0.017101684979879798,0.21609716071294327,0.974025974025974,0.19617567910104367,0.9605579605579606,0.518999518999519,0.8977873977873978,0.0,0.3248572340173383,0.922077922077922,0.2938380419270256,0.33666765588924735
APR_HepG2_OxidativeStress_24h_up,0.6299407114624507,0.18919321764074148,0.17670460829284995,0.9872953133822698,0.8306041784302653,0.9792490118577075,0.7622749237144882,0.8807876905702993,0.44980451938804533,0.5337825136516684,0.9761434217955957,0.8056508400514235,0.7967058803223808
APR_HepG2_OxidativeStress_72h_up,0.6177357456140351,0.11516310925475291,0.1740213963909825,0.9679276315789473,0.7394218578600374,0.9487390350877193,0.6677277366734575,0.783237390350877,0.33382913848825396,0.4042443499601778,0.9438048245614035,0.66505873371693,0.7371291157929777
