assay,round,accuracy,balanced_accuracy,precision,recall,AUC,F1,MCC
NR-AR,0,0.9785522788203752,0.7213281307516749,0.7777777777777778,0.44680851063829785,0.7627990870941618,0.5675675675675675,0.5800277474647032
NR-AR,1,0.9785522788203752,0.7213281307516749,0.7777777777777778,0.44680851063829785,0.7606640653758375,0.5675675675675675,0.5800277474647032
NR-AR,2,0.9785522788203752,0.7213281307516749,0.7777777777777778,0.44680851063829785,0.7664654347345947,0.5675675675675675,0.5800277474647032
NR-AR,3,0.9785522788203752,0.7213281307516749,0.7777777777777778,0.44680851063829785,0.7468453213575793,0.5675675675675675,0.5800277474647032
NR-AR,4,0.9785522788203752,0.7213281307516749,0.7777777777777778,0.44680851063829785,0.759338879481705,0.5675675675675675,0.5800277474647032
NR-AR,5,0.9785522788203752,0.7213281307516749,0.7777777777777778,0.44680851063829785,0.7537804608702054,0.5675675675675675,0.5800277474647032
NR-AR,6,0.9785522788203752,0.7213281307516749,0.7777777777777778,0.44680851063829785,0.7537583744386366,0.5675675675675675,0.5800277474647032
NR-AR,7,0.9785522788203752,0.7213281307516749,0.7777777777777778,0.44680851063829785,0.7554958403887213,0.5675675675675675,0.5800277474647032
NR-AR,8,0.9785522788203752,0.7213281307516749,0.7777777777777778,0.44680851063829785,0.7610616211440772,0.5675675675675675,0.5800277474647032
NR-AR,9,0.9792225201072386,0.7216741515129206,0.8076923076923077,0.44680851063829785,0.7668188176396966,0.5753424657534246,0.5917990230156281
NR-AR,10,0.9785522788203752,0.7213281307516749,0.7777777777777778,0.44680851063829785,0.7558639475815357,0.5675675675675675,0.5800277474647032
NR-AR,11,0.9785522788203752,0.7213281307516749,0.7777777777777778,0.44680851063829785,0.7524847235514982,0.5675675675675675,0.5800277474647032
NR-AR,12,0.9785522788203752,0.7213281307516749,0.7777777777777778,0.44680851063829785,0.7630641242729884,0.5675675675675675,0.5800277474647032
NR-AR,13,0.9785522788203752,0.7213281307516749,0.7777777777777778,0.44680851063829785,0.7518736656114261,0.5675675675675675,0.5800277474647032
NR-AR,14,0.9792225201072386,0.7216741515129206,0.8076923076923077,0.44680851063829785,0.7549215931679305,0.5753424657534246,0.5917990230156281
NR-AR,15,0.9785522788203752,0.7213281307516749,0.7777777777777778,0.44680851063829785,0.7556872561289848,0.5675675675675675,0.5800277474647032
NR-AR,16,0.9785522788203752,0.7213281307516749,0.7777777777777778,0.44680851063829785,0.7587057351100641,0.5675675675675675,0.5800277474647032
NR-AR,17,0.9785522788203752,0.7213281307516749,0.7777777777777778,0.44680851063829785,0.757262754914231,0.5675675675675675,0.5800277474647032
NR-AR,18,0.9785522788203752,0.7213281307516749,0.7777777777777778,0.44680851063829785,0.7545682102628286,0.5675675675675675,0.5800277474647032
NR-AR,19,0.9785522788203752,0.7213281307516749,0.7777777777777778,0.44680851063829785,0.7564897298093206,0.5675675675675675,0.5800277474647032
NR-AR-LBD,0,0.977110157367668,0.7314518796163598,0.7586206896551724,0.4680851063829787,0.8528276926468967,0.5789473684210527,0.585418696213237
NR-AR-LBD,1,0.9778254649499284,0.7318219758413783,0.7857142857142857,0.4680851063829787,0.8675370489944406,0.5866666666666668,0.5965157334635532
NR-AR-LBD,2,0.9778254649499284,0.7318219758413783,0.7857142857142857,0.4680851063829787,0.8567018914279415,0.5866666666666668,0.5965157334635532
NR-AR-LBD,3,0.977110157367668,0.7211836779690379,0.7777777777777778,0.44680851063829785,0.8507646030521127,0.5675675675675675,0.57937408438577
NR-AR-LBD,4,0.977110157367668,0.7211836779690379,0.7777777777777778,0.44680851063829785,0.8644975353166291,0.5675675675675675,0.57937408438577
NR-AR-LBD,5,0.9778254649499284,0.7318219758413783,0.7857142857142857,0.4680851063829787,0.8556309746917178,0.5866666666666668,0.5965157334635532
NR-AR-LBD,6,0.9756795422031472,0.7204434855190011,0.7241379310344828,0.44680851063829785,0.8605918389845191,0.5526315789473684,0.5575748103456459
NR-AR-LBD,7,0.9763948497854076,0.7208135817440193,0.75,0.44680851063829785,0.84433910263477,0.56,0.5681893409573696
NR-AR-LBD,8,0.977110157367668,0.7314518796163598,0.7586206896551724,0.4680851063829787,0.8565444036726145,0.5789473684210527,0.585418696213237
NR-AR-LBD,9,0.9763948497854076,0.7208135817440193,0.75,0.44680851063829785,0.8574263351024457,0.56,0.5681893409573696
NR-AR-LBD,10,0.9778254649499284,0.7318219758413783,0.7857142857142857,0.4680851063829787,0.8606863316377151,0.5866666666666668,0.5965157334635532
NR-AR-LBD,11,0.9763948497854076,0.7208135817440193,0.75,0.44680851063829785,0.8638360867442556,0.56,0.5681893409573696
NR-AR-LBD,12,0.9756795422031472,0.7101752838716789,0.7407407407407407,0.425531914893617,0.8518512685638692,0.5405405405405406,0.5505384202478047
NR-AR-LBD,13,0.9778254649499284,0.7318219758413783,0.7857142857142857,0.4680851063829787,0.8607178291887806,0.5866666666666668,0.5965157334635532
NR-AR-LBD,14,0.9763948497854076,0.7208135817440193,0.75,0.44680851063829785,0.8548199127517835,0.56,0.5681893409573696
NR-AR-LBD,15,0.9763948497854076,0.7105453800966974,0.7692307692307693,0.425531914893617,0.8586074932673984,0.547945205479452,0.5618088623897756
