assay,round,accuracy,balanced_accuracy,precision,recall,AUC,F1,MCC
TA100,0,0.894054054054054,0.8564817998441296,0.8458333333333333,0.7689393939393939,0.9356261174528951,0.8055555555555556,0.7345462469445564
TA100,1,0.894054054054054,0.8576193095860267,0.8429752066115702,0.7727272727272727,0.9328382157429056,0.8063241106719367,0.7349124663803056
TA100,2,0.8918918918918919,0.8515564113143539,0.8474576271186439,0.7575757575757576,0.9304399899142712,0.7999999999999999,0.7283868539122109
TA100,3,0.894054054054054,0.8610318388117177,0.8346774193548387,0.7840909090909091,0.9313052995919864,0.80859375,0.7361359329020319
TA100,4,0.8875675675675676,0.8496682024480814,0.8305785123966942,0.7613636363636364,0.9311333837619769,0.7944664031620553,0.7185728348207974
TA100,5,0.8918918918918919,0.8526939210562509,0.8445378151260504,0.7613636363636364,0.9325774767340576,0.8007968127490039,0.7287252470342149
TA100,6,0.892972972972973,0.8523128409663963,0.851063829787234,0.7575757575757576,0.9314313712006602,0.8016032064128256,0.7309752707453899
TA100,7,0.8854054054054054,0.8458803236602026,0.8291666666666667,0.7537878787878788,0.9319700408013571,0.7896825396825397,0.7127014443588966
TA100,8,0.8886486486486487,0.8526996515839178,0.8285714285714286,0.7689393939393939,0.9298812634667399,0.7976424361493124,0.7219385302345646
TA100,9,0.8897297297297297,0.8534560812359602,0.8319672131147541,0.7689393939393939,0.9330129968367488,0.7992125984251968,0.7244354226941906
TA100,10,0.8962162162162162,0.8579946591482144,0.8529411764705882,0.7689393939393939,0.9323597166827124,0.8087649402390438,0.7396774677698644
TA100,11,0.8908108108108108,0.8519374914042085,0.8410041841004184,0.7613636363636364,0.9333396369137672,0.7992047713717695,0.7261681799498341
TA100,12,0.8962162162162162,0.8602696786320084,0.8471074380165289,0.7765151515151515,0.9307207857699537,0.8102766798418971,0.7403590102334751
TA100,13,0.8875675675675676,0.8496682024480814,0.8305785123966942,0.7613636363636364,0.9329098473387428,0.7944664031620553,0.7185728348207974
