assay,round,accuracy,balanced_accuracy,precision,recall,AUC,F1,MCC
TA100,0,0.9045064377682404,0.8933473389355742,0.7963636363636364,0.8690476190476191,0.9538865546218487,0.8311195445920303,0.7661466503397255
TA100,1,0.9012875536480687,0.8923902894491129,0.7857142857142857,0.873015873015873,0.954936974789916,0.8270676691729324,0.7603265573181891
TA100,2,0.8969957081545065,0.8869514472455649,0.7785714285714286,0.8650793650793651,0.9542425303454716,0.8195488721804511,0.7497878251435824
TA100,3,0.907725321888412,0.8968020541549953,0.8029197080291971,0.873015873015873,0.9565184407096171,0.8365019011406843,0.7736960968386867
TA100,4,0.9002145922746781,0.889157329598506,0.7870036101083032,0.8650793650793651,0.9549077964519141,0.8241965973534972,0.7563963116708948
TA100,5,0.9023605150214592,0.8943744164332399,0.7864768683274022,0.876984126984127,0.9559582166199814,0.8292682926829269,0.7633958630605654
TA100,6,0.9034334763948498,0.8926120448179271,0.7934782608695652,0.8690476190476191,0.9555438842203549,0.8295454545454546,0.7639094468371556
TA100,7,0.9055793991416309,0.8940826330532212,0.7992700729927007,0.8690476190476191,0.957703081232493,0.8326996197718631,0.7683936910923659
TA100,8,0.8991416309012875,0.8896708683473389,0.7821428571428571,0.8690476190476191,0.9561099439775911,0.8233082706766919,0.7550571912308858
TA100,9,0.9034334763948498,0.8926120448179271,0.7934782608695652,0.8690476190476191,0.9544234360410832,0.8295454545454546,0.7639094468371556
TA100,10,0.9045064377682404,0.8945961718020541,0.7942238267148014,0.873015873015873,0.9541345704948646,0.831758034026465,0.7669676664151781
TA100,11,0.9002145922746781,0.8879084967320261,0.7890909090909091,0.8611111111111112,0.955438842203548,0.8235294117647058,0.7555530850006266
TA100,12,0.9045064377682404,0.8945961718020541,0.7942238267148014,0.873015873015873,0.9573529411764705,0.831758034026465,0.7669676664151781
TA100,13,0.8991416309012875,0.888422035480859,0.7841726618705036,0.8650793650793651,0.9535305788982259,0.8226415094339623,0.7541839921226959
TA100,14,0.8991416309012875,0.8909197012138188,0.7801418439716312,0.873015873015873,0.9551528944911298,0.8239700374531835,0.7559464782001025
TA100,15,0.9045064377682404,0.8920985060690942,0.7985347985347986,0.8650793650793651,0.9537931839402428,0.8304761904761905,0.765342585504238
TA100,16,0.9055793991416309,0.8940826330532212,0.7992700729927007,0.8690476190476191,0.9559290382819794,0.8326996197718631,0.7683936910923659
TA100,17,0.9002145922746781,0.8904061624649859,0.7849462365591398,0.8690476190476191,0.95484360410831,0.8248587570621468,0.7572559500102725
TA100,18,0.9034334763948498,0.8926120448179271,0.7934782608695652,0.8690476190476191,0.9532621381886087,0.8295454545454546,0.7639094468371556
TA100,19,0.9066523605150214,0.8935690943043885,0.8044280442804428,0.8650793650793651,0.9558531746031746,0.8336520076481835,0.7698752082934899
TA100_S9,0,0.8956916099773242,0.8832426832426832,0.8451178451178452,0.8451178451178452,0.9476646809980143,0.8451178451178452,0.7664853664853665
TA100_S9,1,0.891156462585034,0.878995078995079,0.8361204013377926,0.8417508417508418,0.9456617456617458,0.8389261744966443,0.7567455099288286
TA100_S9,2,0.8888888888888888,0.8772856772856773,0.8305647840531561,0.8417508417508418,0.9467955912400356,0.8361204013377926,0.7521165720421772
TA100_S9,3,0.8922902494331065,0.8815073815073815,0.8344370860927153,0.8484848484848485,0.9470948804282138,0.8414023372287147,0.7599265716023987
TA100_S9,4,0.891156462585034,0.8773374773374774,0.8406779661016949,0.835016835016835,0.9484704595815708,0.8378378378378378,0.7559377548014542
TA100_S9,5,0.891156462585034,0.8798238798238798,0.8338870431893688,0.8451178451178452,0.9472905695127918,0.8394648829431438,0.757176462483595
TA100_S9,6,0.891156462585034,0.8806526806526807,0.8316831683168316,0.8484848484848485,0.9476071253849032,0.84,0.7576252665288334
TA100_S9,7,0.8968253968253969,0.8857549857549858,0.8433333333333334,0.8518518518518519,0.9471639471639471,0.847571189279732,0.7696186468845784
TA100_S9,8,0.8979591836734694,0.8866096866096866,0.8461538461538461,0.8518518518518519,0.948487726265504,0.8489932885906041,0.7719497182196149
TA100_S9,9,0.891156462585034,0.8798238798238798,0.8338870431893688,0.8451178451178452,0.9472502805836138,0.8394648829431438,0.757176462483595
TA100_S9,10,0.8900226757369615,0.8773115773115773,0.8355704697986577,0.8383838383838383,0.9481423925868371,0.8369747899159663,0.7540006650537412
TA100_S9,11,0.8956916099773242,0.8857290857290857,0.8382838283828383,0.8552188552188552,0.9474402141068807,0.8466666666666667,0.7677289987353825
TA100_S9,12,0.8945578231292517,0.8823879823879823,0.8422818791946308,0.8451178451178452,0.9459380126046792,0.8436974789915966,0.7641451001409552
TA100_S9,13,0.8922902494331065,0.8806785806785806,0.8366666666666667,0.8451178451178452,0.94898270453826,0.8408710217755444,0.7594907259238306
