assay,round,accuracy,balanced_accuracy,precision,recall,AUC,F1,MCC
NR-AR,0,0.9764468371467026,0.7375952151056754,0.7575757575757576,0.4807692307692308,0.8265744018882094,0.5882352941176471,0.5925897786947119
NR-AR,1,0.9784656796769852,0.7571746593713121,0.7941176470588235,0.5192307692307693,0.8281032078103208,0.627906976744186,0.6321376385456632
NR-AR,2,0.977792732166891,0.7475592747559274,0.7878787878787878,0.5,0.8274192683188499,0.6117647058823529,0.6174412888584061
NR-AR,3,0.977792732166891,0.7382925651754104,0.8064516129032258,0.4807692307692308,0.8237917068984015,0.6024096385542168,0.6127797314512022
NR-AR,4,0.9771197846567967,0.7379438901405428,0.78125,0.4807692307692308,0.8287603261452633,0.5952380952380952,0.6024536061435225
NR-AR,5,0.9771197846567967,0.7379438901405428,0.78125,0.4807692307692308,0.8297929406716017,0.5952380952380952,0.6024536061435225
NR-AR,6,0.9784656796769852,0.747907949790795,0.8125,0.5,0.8255686085183993,0.6190476190476191,0.6276817541097423
NR-AR,7,0.9771197846567967,0.7379438901405428,0.78125,0.4807692307692308,0.8337959982834461,0.5952380952380952,0.6024536061435225
NR-AR,8,0.977792732166891,0.7475592747559274,0.7878787878787878,0.5,0.8242677824267783,0.6117647058823529,0.6174412888584061
NR-AR,9,0.9771197846567967,0.7379438901405428,0.78125,0.4807692307692308,0.8236777169831562,0.5952380952380952,0.6024536061435225
NR-AR,10,0.9771197846567967,0.7379438901405428,0.78125,0.4807692307692308,0.8321464971569574,0.5952380952380952,0.6024536061435225
NR-AR,11,0.977792732166891,0.7475592747559274,0.7878787878787878,0.5,0.8278618174015663,0.6117647058823529,0.6174412888584061
NR-AR,12,0.977792732166891,0.7475592747559274,0.7878787878787878,0.5,0.8319319279047314,0.6117647058823529,0.6174412888584061
NR-AR,13,0.977792732166891,0.7382925651754104,0.8064516129032258,0.4807692307692308,0.832099560133033,0.6024096385542168,0.6127797314512022
NR-AR,14,0.9771197846567967,0.7379438901405428,0.78125,0.4807692307692308,0.82524675464006,0.5952380952380952,0.6024536061435225
NR-AR,15,0.9771197846567967,0.7379438901405428,0.78125,0.4807692307692308,0.834097736294389,0.5952380952380952,0.6024536061435225
NR-AR,16,0.977792732166891,0.7475592747559274,0.7878787878787878,0.5,0.8313887994850337,0.6117647058823529,0.6174412888584061
NR-AR,17,0.977792732166891,0.7475592747559274,0.7878787878787878,0.5,0.8235436112005151,0.6117647058823529,0.6174412888584061
NR-AR,18,0.9784656796769852,0.747907949790795,0.8125,0.5,0.8344195901727282,0.6190476190476191,0.6276817541097423
NR-AR,19,0.977792732166891,0.7475592747559274,0.7878787878787878,0.5,0.8234832635983265,0.6117647058823529,0.6174412888584061
NR-AR-LBD,0,0.9877256317689531,0.844296491027546,0.84375,0.6923076923076923,0.9842267687735742,0.7605633802816902,0.7582170360650221
NR-AR-LBD,1,0.9884476534296028,0.844667962052806,0.8709677419354839,0.6923076923076923,0.9824551377300264,0.7714285714285716,0.7708955989830996
NR-AR-LBD,2,0.9891696750902527,0.8574884748733189,0.875,0.717948717948718,0.9813311997561626,0.7887323943661971,0.787268702730307
NR-AR-LBD,3,0.9891696750902527,0.8450394330780661,0.9,0.6923076923076923,0.9824360879338591,0.7826086956521738,0.7841935857859618
NR-AR-LBD,4,0.9884476534296028,0.844667962052806,0.8709677419354839,0.6923076923076923,0.9844934659199146,0.7714285714285716,0.7708955989830996
NR-AR-LBD,5,0.9891696750902527,0.8450394330780661,0.9,0.6923076923076923,0.9853507067474377,0.7826086956521738,0.7841935857859618
NR-AR-LBD,6,0.9891696750902527,0.8450394330780661,0.9,0.6923076923076923,0.9873509353449919,0.7826086956521738,0.7841935857859618
NR-AR-LBD,7,0.9891696750902527,0.8450394330780661,0.9,0.6923076923076923,0.981788394864175,0.7826086956521738,0.7841935857859618
NR-AR-LBD,8,0.9884476534296028,0.844667962052806,0.8709677419354839,0.6923076923076923,0.9816359964948375,0.7714285714285716,0.7708955989830996
NR-AR-LBD,9,0.9884476534296028,0.844667962052806,0.8709677419354839,0.6923076923076923,0.9837124242770603,0.7714285714285716,0.7708955989830996
NR-AR-LBD,10,0.9884476534296028,0.844667962052806,0.8709677419354839,0.6923076923076923,0.9847220634739209,0.7714285714285716,0.7708955989830996
NR-AR-LBD,11,0.9891696750902527,0.8574884748733189,0.875,0.717948717948718,0.9845887149007505,0.7887323943661971,0.787268702730307
NR-AR-LBD,12,0.9891696750902527,0.8450394330780661,0.9,0.6923076923076923,0.9887034708728616,0.7826086956521738,0.7841935857859618
NR-AR-LBD,13,0.9898916967509025,0.8454109041033261,0.9310344827586207,0.6923076923076923,0.9850840096010973,0.7941176470588235,0.7981638037099861
NR-AR-LBD,14,0.9891696750902527,0.8574884748733189,0.875,0.717948717948718,0.9840172210157351,0.7887323943661971,0.787268702730307
NR-AR-LBD,15,0.9898916967509025,0.857859945898579,0.9032258064516129,0.717948717948718,0.9823598887491904,0.8,0.8004012200683699
NR-AR-LBD,16,0.9898916967509025,0.857859945898579,0.9032258064516129,0.717948717948718,0.9842077189774069,0.8,0.8004012200683699
NR-AR-LBD,17,0.9884476534296028,0.844667962052806,0.8709677419354839,0.6923076923076923,0.9865698937021374,0.7714285714285716,0.7708955989830996
NR-AR-LBD,18,0.9891696750902527,0.8450394330780661,0.9,0.6923076923076923,0.9809692536289861,0.7826086956521738,0.7841935857859618
NR-AR-LBD,19,0.9884476534296028,0.844667962052806,0.8709677419354839,0.6923076923076923,0.9804358593363051,0.7714285714285716,0.7708955989830996
NR-AhR,0,0.9094256259204713,0.7897117806174797,0.5853658536585366,0.6357615894039735,0.9152131331032552,0.6095238095238096,0.5590030433760266
NR-AhR,1,0.9020618556701031,0.7797752624041875,0.5529411764705883,0.6225165562913907,0.9195696187252067,0.5856697819314642,0.5315556455748375
NR-AhR,2,0.9072164948453608,0.7797780057830426,0.577639751552795,0.6158940397350994,0.9162885376144674,0.5961538461538463,0.5441588056817259
NR-AhR,3,0.9072164948453608,0.7826750138540632,0.5766871165644172,0.6225165562913907,0.9130568373231206,0.5987261146496815,0.5468670685379778
NR-AhR,4,0.9072164948453608,0.7797780057830426,0.577639751552795,0.6158940397350994,0.9217643218093133,0.5961538461538463,0.5441588056817259
NR-AhR,5,0.9072164948453608,0.7884690299961044,0.5748502994011976,0.6357615894039735,0.9198713903992715,0.6037735849056604,0.5522772863242357
NR-AhR,6,0.9035346097201767,0.7777067547474171,0.5602409638554217,0.6158940397350994,0.9175230580992774,0.5867507886435331,0.5330480709206454
NR-AhR,7,0.8991163475699558,0.7665302292916047,0.5421686746987951,0.5960264900662252,0.918894747526844,0.5678233438485805,0.5115951345697276
NR-AhR,8,0.9050073637702504,0.7756382470906467,0.5679012345679012,0.609271523178808,0.9214790104083793,0.5878594249201279,0.5346732869179146
NR-AhR,9,0.9020618556701031,0.7768782543331669,0.5535714285714286,0.6158940397350994,0.9163872992532522,0.5830721003134797,0.5287286341363728
NR-AhR,10,0.9013254786450663,0.76777297991298,0.5521472392638037,0.5960264900662252,0.9148564938520879,0.5732484076433122,0.5180373835032017
NR-AhR,11,0.9079528718703976,0.7801922559901677,0.58125,0.6158940397350994,0.9171993393943716,0.5980707395498392,0.5464366648826617
NR-AhR,12,0.9020618556701031,0.7710842381911257,0.5548780487804879,0.6026490066225165,0.914752245455593,0.5777777777777777,0.5230609326176915
NR-AhR,13,0.9086892488954345,0.7892975304103547,0.5818181818181818,0.6357615894039735,0.9174572170067542,0.6075949367088608,0.5567428351710914
NR-AhR,14,0.9131075110456554,0.7888860235820847,0.6050955414012739,0.6291390728476821,0.92210998754506,0.6168831168831169,0.5680378898941857
NR-AhR,15,0.9079528718703976,0.7859862721322088,0.5792682926829268,0.6291390728476821,0.9134409103628393,0.6031746031746031,0.5518146212243595
NR-AhR,16,0.9035346097201767,0.7748097466763966,0.5609756097560976,0.609271523178808,0.9154819842310583,0.5841269841269842,0.5302493547693585
NR-AhR,17,0.9079528718703976,0.7859862721322088,0.5792682926829268,0.6291390728476821,0.9180662471125938,0.6031746031746031,0.5518146212243595
NR-AhR,18,0.9035346097201767,0.7661187224633348,0.5632911392405063,0.5894039735099338,0.9143187915964818,0.5760517799352751,0.5218291885709876
NR-AhR,19,0.9131075110456554,0.785989015511064,0.6064516129032258,0.6225165562913907,0.91881244616119,0.6143790849673202,0.5654872200091635
NR-ER,0,0.9332310053722179,0.7523807790758331,0.7956989247311828,0.5211267605633803,0.8461349492302653,0.6297872340425531,0.6109594616792662
NR-ER,1,0.9301611665387567,0.7413867355727821,0.7802197802197802,0.5,0.8447762370952676,0.609442060085837,0.5902441252163049
NR-ER,2,0.9316960859554874,0.7484289890939089,0.7849462365591398,0.5140845070422535,0.8483064623745922,0.6212765957446807,0.6013930300006456
NR-ER,3,0.930928626247122,0.747998325872548,0.776595744680851,0.5140845070422535,0.8503263335395665,0.6186440677966101,0.5973955037535604
NR-ER,4,0.9301611665387567,0.753748589729592,0.7575757575757576,0.528169014084507,0.8410094503281532,0.6224066390041494,0.5968470809877432
NR-ER,5,0.9293937068303914,0.7409560723514212,0.7717391304347826,0.5,0.857168419647948,0.6068376068376068,0.5862220744260922
NR-ER,6,0.930928626247122,0.7387269352549405,0.7954545454545454,0.49295774647887325,0.8468203709769382,0.6086956521739131,0.5928737545591548
NR-ER,7,0.9255564082885649,0.7418932197838192,0.7272727272727273,0.5070422535211268,0.850241414031129,0.5975103734439834,0.568961830655102
NR-ER,8,0.9293937068303914,0.7502274629690286,0.7551020408163265,0.5211267605633803,0.8411186325532869,0.6166666666666667,0.5913147183255607
NR-ER,9,0.9293937068303914,0.7502274629690286,0.7551020408163265,0.5211267605633803,0.8487553226334753,0.6166666666666667,0.5913147183255607
NR-ER,10,0.930928626247122,0.747998325872548,0.776595744680851,0.5140845070422535,0.8449551746309033,0.6186440677966101,0.5973955037535604
NR-ER,11,0.9286262471220261,0.7436158726692628,0.7578947368421053,0.5070422535211268,0.8353653358566558,0.6075949367088608,0.5839835167085018
NR-ER,12,0.9278587874136608,0.7400947459086994,0.7553191489361702,0.5,0.8481002292826728,0.6016949152542374,0.57835681420859
NR-ER,13,0.9255564082885649,0.7357122927054143,0.7368421052631579,0.49295774647887325,0.8424773446882847,0.5907172995780591,0.5650374588375465
NR-ER,14,0.9347659247889486,0.7594230325969599,0.8,0.5352112676056338,0.8477484198905751,0.6413502109704641,0.6218756324504123
NR-ER,15,0.9332310053722179,0.7554712426150356,0.7894736842105263,0.528169014084507,0.854232630927685,0.6329113924050632,0.6124026035149347
NR-ER,16,0.9293937068303914,0.7440465358906236,0.7659574468085106,0.5070422535211268,0.8429231721075807,0.6101694915254238,0.5878761589810751
NR-ER,17,0.9293937068303914,0.7440465358906236,0.7659574468085106,0.5070422535211268,0.851976198274921,0.6101694915254238,0.5878761589810751
NR-ER,18,0.930928626247122,0.747998325872548,0.776595744680851,0.5140845070422535,0.8474875956860889,0.6186440677966101,0.5973955037535604
NR-ER,19,0.9316960859554874,0.7484289890939089,0.7849462365591398,0.5140845070422535,0.8355260763547694,0.6212765957446807,0.6013930300006456
NR-ER-LBD,0,0.9730103806228374,0.8412853892821031,0.7272727272727273,0.6956521739130435,0.9385321873946747,0.711111111111111,0.697151800414856
NR-ER-LBD,1,0.9716262975778547,0.8405586450960566,0.7058823529411765,0.6956521739130435,0.9434824738793395,0.7007299270072992,0.6858580507476609
NR-ER-LBD,2,0.9737024221453288,0.8416487613751265,0.7384615384615385,0.6956521739130435,0.9478429389956186,0.7164179104477613,0.702987150733303
NR-ER-LBD,3,0.970242214532872,0.8329488961914392,0.6911764705882353,0.6811594202898551,0.94661063363667,0.6861313868613138,0.6705326211173899
NR-ER-LBD,4,0.9709342560553633,0.8195462588473206,0.7142857142857143,0.6521739130434783,0.945757499157398,0.6818181818181819,0.6673800176024958
NR-ER-LBD,5,0.9730103806228374,0.8412853892821031,0.7272727272727273,0.6956521739130435,0.9445989214694978,0.711111111111111,0.697151800414856
NR-ER-LBD,6,0.9716262975778547,0.8405586450960566,0.7058823529411765,0.6956521739130435,0.9447147792382878,0.7007299270072992,0.6858580507476609
NR-ER-LBD,7,0.972318339100346,0.8409220171890799,0.7164179104477612,0.6956521739130435,0.9426504044489384,0.7058823529411765,0.6914436575293633
NR-ER-LBD,8,0.9709342560553633,0.8401952730030333,0.6956521739130435,0.6956521739130435,0.9434192787327267,0.6956521739130435,0.6803905460060667
NR-ER-LBD,9,0.9716262975778547,0.8336756403774856,0.7121212121212122,0.6811594202898551,0.9419868554095046,0.6962962962962962,0.6816071849224716
NR-ER-LBD,10,0.972318339100346,0.8409220171890799,0.7164179104477612,0.6956521739130435,0.9452203404111897,0.7058823529411765,0.6914436575293633
NR-ER-LBD,11,0.972318339100346,0.8340390124705089,0.7230769230769231,0.6811594202898551,0.9419131277384564,0.7014925373134329,0.6873290939655247
NR-ER-LBD,12,0.972318339100346,0.8340390124705089,0.7230769230769231,0.6811594202898551,0.9422080384226491,0.7014925373134329,0.6873290939655247
NR-ER-LBD,13,0.972318339100346,0.8409220171890799,0.7164179104477612,0.6956521739130435,0.9423238961914392,0.7058823529411765,0.6914436575293633
NR-ER-LBD,14,0.9730103806228374,0.8412853892821031,0.7272727272727273,0.6956521739130435,0.945041287495787,0.711111111111111,0.697151800414856
NR-ER-LBD,15,0.9730103806228374,0.8412853892821031,0.7272727272727273,0.6956521739130435,0.9433350185372431,0.711111111111111,0.697151800414856
NR-ER-LBD,16,0.9716262975778547,0.8405586450960566,0.7058823529411765,0.6956521739130435,0.94188153016515,0.7007299270072992,0.6858580507476609
NR-ER-LBD,17,0.972318339100346,0.8340390124705089,0.7230769230769231,0.6811594202898551,0.9429137175598248,0.7014925373134329,0.6873290939655247
NR-ER-LBD,18,0.9737024221453288,0.8416487613751265,0.7384615384615385,0.6956521739130435,0.9439985675766769,0.7164179104477613,0.702987150733303
NR-ER-LBD,19,0.9716262975778547,0.8405586450960566,0.7058823529411765,0.6956521739130435,0.9444830637007078,0.7007299270072992,0.6858580507476609
NR-PPAR-gamma,0,0.9660014781966001,0.7329848845806293,0.4,0.4864864864864865,0.9004970015608312,0.43902439024390244,0.4238150936996404
NR-PPAR-gamma,1,0.9652623798965262,0.7326049453709028,0.391304347826087,0.4864864864864865,0.899901421178017,0.43373493975903615,0.4186595831103258
NR-PPAR-gamma,2,0.9667405764966741,0.7070976751827815,0.4,0.43243243243243246,0.8999630329417564,0.4155844155844156,0.39881516796413496
NR-PPAR-gamma,3,0.9637841832963784,0.7187114926476629,0.3695652173913043,0.4594594594594595,0.8946849585147457,0.4096385542168674,0.3936531194007959
NR-PPAR-gamma,4,0.9660014781966001,0.7198513102768422,0.3953488372093023,0.4594594594594595,0.893596484022016,0.425,0.40880668126400815
NR-PPAR-gamma,5,0.9623059866962306,0.6916844656206358,0.3409090909090909,0.40540540540540543,0.892631233056765,0.37037037037037035,0.3524922389461537
NR-PPAR-gamma,6,0.9637841832963784,0.7187114926476629,0.3695652173913043,0.4594594594594595,0.8883389468495851,0.4096385542168674,0.3936531194007959
NR-PPAR-gamma,7,0.9667405764966741,0.7202312494865687,0.40476190476190477,0.4594594594594595,0.8920561899285303,0.430379746835443,0.41420158273053503
NR-PPAR-gamma,8,0.9630450849963045,0.7051979791341494,0.35555555555555557,0.43243243243243246,0.8911936252361783,0.3902439024390244,0.37326885351491534
NR-PPAR-gamma,9,0.9652623798965262,0.7326049453709028,0.391304347826087,0.4864864864864865,0.8973137271009611,0.43373493975903615,0.4186595831103258
NR-PPAR-gamma,10,0.9645232815964523,0.7322250061611764,0.3829787234042553,0.4864864864864865,0.8950340918426025,0.42857142857142855,0.4136635626558628
NR-PPAR-gamma,11,0.9652623798965262,0.7194713710671158,0.38636363636363635,0.4594594594594595,0.8977450094471371,0.41975308641975306,0.4035901121227912
NR-PPAR-gamma,12,0.9660014781966001,0.7198513102768422,0.3953488372093023,0.4594594594594595,0.8890782880144582,0.425,0.40880668126400815
NR-PPAR-gamma,13,0.9667405764966741,0.7202312494865687,0.40476190476190477,0.4594594594594595,0.8927955310934035,0.430379746835443,0.41420158273053503
NR-PPAR-gamma,14,0.9645232815964523,0.7190914318573893,0.37777777777777777,0.4594594594594595,0.8949930173334428,0.41463414634146345,0.39854197360727783
NR-PPAR-gamma,15,0.9660014781966001,0.7067177359730552,0.3902439024390244,0.43243243243243246,0.8939250800952928,0.4102564102564103,0.3933486792653973
NR-PPAR-gamma,16,0.9667405764966741,0.7333648237903557,0.4090909090909091,0.4864864864864865,0.8980325310112545,0.44444444444444453,0.42913904871110997
NR-PPAR-gamma,17,0.9652623798965262,0.7326049453709028,0.391304347826087,0.4864864864864865,0.895835044771215,0.43373493975903615,0.4186595831103258
NR-PPAR-gamma,18,0.9630450849963045,0.7183315534379364,0.3617021276595745,0.4594594594594595,0.8933705742216381,0.40476190476190477,0.3889150859690009
NR-PPAR-gamma,19,0.9682187730968219,0.7209911279060215,0.425,0.4594594594594595,0.8892220487965169,0.44155844155844154,0.4255702712096464
