assay_combination,entropy1,mi/entropy1,entropy2,mi/entropy2,mutual_info,joint_entropy,mi/joint
TA100|TA100_S9,0.674837234,0.448404422,0.823732862,0.367352104,0.3026,1.195972011,0.253015954
TA100|TA1535,0.568967316,0.376243053,0.451265003,0.47437758,0.21407,0.806157775,0.265543553
TA100|TA1535_S9,0.438246698,0.314252225,0.456340708,0.301792055,0.13772,0.75686927,0.181960089
TA100|TA97,0.541787693,0.408979389,0.569595867,0.389012654,0.22158,0.889803376,0.249021307
TA100|TA97_S9,0.466938275,0.297983711,0.610110487,0.228057053,0.13914,0.937911149,0.148350939
TA100|TA98,0.726833945,0.424237203,0.711846203,0.43316941,0.30835,1.130326468,0.272797292
TA100|TA98_S9,0.608894334,0.223273551,0.763737483,0.178006191,0.13595,1.2366783,0.10993158
TA100|TA1537,0.477278178,0.249141917,0.418113899,0.28439619,0.11891,0.776477753,0.153140254
TA100|TA1537_S9,0.383972081,0.112716528,0.446726579,0.096882527,0.04328,0.787414709,0.054964683
TA100|TA102,0.62649392,0.196729762,0.599601348,0.20555324,0.12325,1.102847689,0.111756139
TA100|TA102_S9,0.53547372,0.232205607,0.569251593,0.218427145,0.12434,0.9803863,0.126827558
TA100_S9|TA1535,0.599387112,0.198936543,0.374246559,0.318613484,0.11924,0.854389562,0.13956163
TA100_S9|TA1535_S9,0.616280435,0.270282797,0.46292009,0.359824522,0.16657,0.91262951,0.182516561
TA100_S9|TA97,0.597597776,0.222340185,0.545824158,0.243430046,0.13287,1.010552805,0.131482491
TA100_S9|TA97_S9,0.605789252,0.490698703,0.637387499,0.466372498,0.29726,0.945919543,0.314255057
TA100_S9|TA98,0.774091627,0.213178898,0.590271036,0.279566487,0.16502,1.199340335,0.137592304
TA100_S9|TA98_S9,0.808622856,0.41595411,0.794559002,0.423316581,0.33635,1.266835091,0.26550417
TA100_S9|TA1537,0.547325891,0.118759227,0.345117315,0.188341753,0.065,0.827444776,0.078555091
TA100_S9|TA1537_S9,0.584458615,0.241950407,0.476270939,0.29691083,0.14141,0.919314781,0.153821088
TA100_S9|TA102,0.596104546,0.207614589,0.54777748,0.225931157,0.12376,1.020126745,0.121318258
TA100_S9|TA102_S9,0.591106115,0.314325965,0.56678556,0.327813574,0.1858,0.972088201,0.191134919
TA1535|TA1535_S9,0.372416491,0.611465941,0.471832146,0.482629261,0.22772,0.616530787,0.369357062
TA1535|TA97,0.307297293,0.157729993,0.4999585,0.096948047,0.04847,0.758788972,0.063878103
TA1535|TA97_S9,0.30104877,0.046371224,0.513085277,0.027207953,0.01396,0.800170031,0.017446292
TA1535|TA98,0.35155256,0.090967905,0.451720631,0.070795969,0.03198,0.771296062,0.041462678
TA1535|TA98_S9,0.316316996,0.047610467,0.507703101,0.029663006,0.01506,0.808962538,0.018616437
TA1535|TA1537,0.307855435,0.058241622,0.398657062,0.044976,0.01793,0.688579046,0.026039131
TA1535|TA1537_S9,0.280615725,0.015430354,0.418105083,0.010356248,0.00433,0.694394463,0.006235649
TA1535|TA102,0.387495809,0.118349667,0.579535347,0.079132361,0.04586,0.92117436,0.049784278
TA1535|TA102_S9,0.394414467,0.127759005,0.587399918,0.085784826,0.05039,0.931423691,0.054099977
TA1535_S9|TA97,0.443903164,0.120724528,0.439054675,0.122057691,0.05359,0.829367415,0.064615512
TA1535_S9|TA97_S9,0.415085562,0.098100256,0.522056983,0.077999148,0.04072,0.89642678,0.045424792
TA1535_S9|TA98,0.423048816,0.07150475,0.36639453,0.082561276,0.03025,0.759196576,0.039844753
TA1535_S9|TA98_S9,0.418817628,0.076429448,0.526932064,0.060747869,0.03201,0.91374112,0.035031804
TA1535_S9|TA1537,0.368139324,0.034742281,0.320923139,0.039853779,0.01279,0.676267724,0.018912628
TA1535_S9|TA1537_S9,0.378520175,0.04731584,0.451694657,0.039650679,0.01791,0.812307672,0.022048296
TA1535_S9|TA102,0.41381685,0.090523138,0.531340014,0.070500996,0.03746,0.907694477,0.041269393
TA1535_S9|TA102_S9,0.446481347,0.184554183,0.559666237,0.147230607,0.0824,0.923745154,0.089202092
TA97|TA97_S9,0.504979471,0.372074531,0.61486379,0.305579875,0.18789,0.931953814,0.201608703
TA97|TA98,0.571131075,0.37178856,0.525197868,0.404304764,0.21234,0.88399159,0.240205905
TA97|TA98_S9,0.525293495,0.21207192,0.652497196,0.170728703,0.1114,1.066386559,0.104464933
TA97|TA1537,0.494380694,0.240765874,0.373768722,0.318458964,0.11903,0.749114473,0.158894274
TA97|TA1537_S9,0.417981194,0.078281034,0.450345095,0.072655393,0.03272,0.835604428,0.039157284
TA97|TA102,0.617510478,0.143835616,0.5106215,0.173944889,0.08882,1.039312964,0.085460302
TA97|TA102_S9,0.586831322,0.145186524,0.474762561,0.179458127,0.0852,0.97639678,0.087259608
