method,assay,round,bin,MCC
dnn,TA100,0,0.4,0.4039883423291898
dnn,TA100,0,0.6,0.6167630644467332
dnn,TA100,0,1,0.6793892969336749
dnn,TA100,1,0.4,0.4807654205224957
dnn,TA100,1,0.6,0.5824713193405006
dnn,TA100,1,1,0.6039757555454633
dnn,TA100,2,0.4,0.4970621212967887
dnn,TA100,2,0.6,0.5818278375165619
dnn,TA100,2,1,0.6144486660858072
dnn,TA100,3,0.4,0.5203305660386883
dnn,TA100,3,0.6,0.5969803737841132
dnn,TA100,3,1,0.611332601001041
dnn,TA100,4,0.4,0.539360435651377
dnn,TA100,4,0.6,0.5877918380393792
dnn,TA100,4,1,0.6134124213346841
dnn,TA100,5,0.4,0.451903856795047
dnn,TA100,5,0.6,0.5680379570495445
dnn,TA100,5,1,0.6039757555454633
dnn,TA100,6,0.4,0.4684846202532665
dnn,TA100,6,0.6,0.5562294890513738
dnn,TA100,6,1,0.6477566621536494
dnn,TA100,7,0.4,0.4272307524739402
dnn,TA100,7,0.6,0.5877820209414408
dnn,TA100,7,1,0.6651504789822263
dnn,TA100,8,0.4,0.4464318957711199
dnn,TA100,8,0.6,0.5971864614509244
dnn,TA100,8,1,0.7046565884542758
dnn,TA100,9,0.4,0.5176318498171097
dnn,TA100,9,0.6,0.5897759658548855
dnn,TA100,9,1,0.6390167315661219
dnn,TA100,10,0.4,0.433284678399332
dnn,TA100,10,0.6,0.6184541771248113
dnn,TA100,10,1,0.682324172190819
dnn,TA100,11,0.4,0.46597605156395533
dnn,TA100,11,0.6,0.5988926847491328
dnn,TA100,11,1,0.5273101023647698
dnn,TA100,12,0.4,0.4702524955797131
dnn,TA100,12,0.6,0.6167630644467332
dnn,TA100,12,1,0.626819746371679
dnn,TA100,13,0.4,0.42725678707108955
dnn,TA100,13,0.6,0.6153842116331839
dnn,TA100,13,1,0.6653616271693797
dnn,TA100,14,0.4,0.451903856795047
dnn,TA100,14,0.6,0.5824713193405006
dnn,TA100,14,1,0.6477566621536494
dnn,TA100,15,0.4,0.4587856088197979
dnn,TA100,15,0.6,0.574510812156872
dnn,TA100,15,1,0.682324172190819
dnn,TA100,16,0.4,0.3807198975872901
dnn,TA100,16,0.6,0.5580875408023507
dnn,TA100,16,1,0.5552215322097941
dnn,TA100,17,0.4,0.4367071899401564
dnn,TA100,17,0.6,0.5712237702074143
dnn,TA100,17,1,0.5922299922299922
dnn,TA100,18,0.4,0.4467643101216202
dnn,TA100,18,0.6,0.5712237702074143
dnn,TA100,18,1,0.5874378184173362
dnn,TA100,19,0.4,0.41806510071634184
dnn,TA100,19,0.6,0.5790423041298572
dnn,TA100,19,1,0.6136553324518403
dnn,TA100_S9,0,0.4,0.36656878574275004
dnn,TA100_S9,0,0.6,0.5110203368461764
dnn,TA100_S9,0,1,0.7283707480121858
dnn,TA100_S9,1,0.4,0.392651766645794
dnn,TA100_S9,1,0.6,0.5087272990138173
dnn,TA100_S9,1,1,0.7138603564075022
dnn,TA100_S9,2,0.4,0.3109037907708952
dnn,TA100_S9,2,0.6,0.49340840079782133
dnn,TA100_S9,2,1,0.65265319446067
dnn,TA100_S9,3,0.4,0.33044185081028105
dnn,TA100_S9,3,0.6,0.49838112762113695
dnn,TA100_S9,3,1,0.6411322913746862
dnn,TA100_S9,4,0.4,0.3665241384363972
dnn,TA100_S9,4,0.6,0.4591993733195602
dnn,TA100_S9,4,1,0.6827970245174355
dnn,TA100_S9,5,0.4,0.4098876999529766
dnn,TA100_S9,5,0.6,0.4906752944954779
dnn,TA100_S9,5,1,0.7151223377314258
dnn,TA100_S9,6,0.4,0.35436486021916047
dnn,TA100_S9,6,0.6,0.490949691182248
dnn,TA100_S9,6,1,0.6392572944297082
