method,assay,round,bin,MCC
dnn,NR-AR,0,0.4,-0.007856742013183862
dnn,NR-AR,0,0.6,0.6163040147248826
dnn,NR-AR,0,1,0.9405399431259602
dnn,NR-AR,1,0.4,0.17461915099243125
dnn,NR-AR,1,0.6,0.6293106065384186
dnn,NR-AR,1,1,0.9405399431259602
dnn,NR-AR,2,0.4,0.17461915099243125
dnn,NR-AR,2,0.6,0.6163040147248826
dnn,NR-AR,2,1,0.9405399431259602
dnn,NR-AR,3,0.4,0.17461915099243125
dnn,NR-AR,3,0.6,0.6114717331135605
dnn,NR-AR,3,1,0.9405399431259602
dnn,NR-AR,4,0.4,0.17461915099243125
dnn,NR-AR,4,0.6,0.6163040147248826
dnn,NR-AR,4,1,0.9405399431259602
dnn,NR-AR,5,0.4,0.17461915099243125
dnn,NR-AR,5,0.6,0.604287383519688
dnn,NR-AR,5,1,0.8776872610615156
dnn,NR-AR,6,0.4,0.17461915099243125
dnn,NR-AR,6,0.6,0.6377351082804008
dnn,NR-AR,6,1,0.9405399431259602
dnn,NR-AR,7,0.4,0.17461915099243125
dnn,NR-AR,7,0.6,0.6163040147248826
dnn,NR-AR,7,1,0.9405399431259602
dnn,NR-AR,8,0.4,0.17461915099243125
dnn,NR-AR,8,0.6,0.6293106065384186
dnn,NR-AR,8,1,0.9405399431259602
dnn,NR-AR,9,0.4,-0.007856742013183862
dnn,NR-AR,9,0.6,0.6284441748536069
dnn,NR-AR,9,1,0.8776872610615156
dnn,NR-AR,10,0.4,0.17461915099243125
dnn,NR-AR,10,0.6,0.6163040147248826
dnn,NR-AR,10,1,0.9405399431259602
dnn,NR-AR,11,0.4,0.17461915099243125
dnn,NR-AR,11,0.6,0.7468599870373038
dnn,NR-AR,11,1,0.8776872610615156
dnn,NR-AR,12,0.4,0.17461915099243125
dnn,NR-AR,12,0.6,0.6377351082804008
dnn,NR-AR,12,1,0.8776872610615156
dnn,NR-AR,13,0.4,0.13817382488596303
dnn,NR-AR,13,0.6,0.6114717331135605
dnn,NR-AR,13,1,0.8840579710144928
dnn,NR-AR,14,0.4,0.17461915099243125
dnn,NR-AR,14,0.6,0.6377351082804008
dnn,NR-AR,14,1,0.9405399431259602
dnn,NR-AR,15,0.4,0.17461915099243125
dnn,NR-AR,15,0.6,0.6163040147248826
dnn,NR-AR,15,1,0.9405399431259602
dnn,NR-AR,16,0.4,0.17461915099243125
dnn,NR-AR,16,0.6,0.5967563612069269
dnn,NR-AR,16,1,0.9405399431259602
dnn,NR-AR,17,0.4,0.17461915099243125
dnn,NR-AR,17,0.6,0.6163040147248826
dnn,NR-AR,17,1,0.9405399431259602
dnn,NR-AR,18,0.4,0.17461915099243125
dnn,NR-AR,18,0.6,0.6486686049980784
dnn,NR-AR,18,1,0.9405399431259602
dnn,NR-AR,19,0.4,-0.007856742013183862
dnn,NR-AR,19,0.6,0.6613790234352991
dnn,NR-AR,19,1,0.9405399431259602
dnn,NR-AR-LBD,0,0.4,0.27410612572035664
dnn,NR-AR-LBD,0,0.6,0.5476866924558978
dnn,NR-AR-LBD,0,1,0.6707563995521838
dnn,NR-AR-LBD,1,0.4,0.1268169576736226
dnn,NR-AR-LBD,1,0.6,0.4819363635554899
dnn,NR-AR-LBD,1,1,0.8186733968154005
dnn,NR-AR-LBD,2,0.4,0.0
dnn,NR-AR-LBD,2,0.6,0.5430157420037827
dnn,NR-AR-LBD,2,1,0.8507111474365273
dnn,NR-AR-LBD,3,0.4,0.27410612572035664
dnn,NR-AR-LBD,3,0.6,0.6148303448962892
dnn,NR-AR-LBD,3,1,0.7944923241785299
dnn,NR-AR-LBD,4,0.4,0.27410612572035664
dnn,NR-AR-LBD,4,0.6,0.5430157420037827
dnn,NR-AR-LBD,4,1,0.8507111474365273
dnn,NR-AR-LBD,5,0.4,0.18900614984607078
dnn,NR-AR-LBD,5,0.6,0.5604255005517594
dnn,NR-AR-LBD,5,1,0.8507111474365273
dnn,NR-AR-LBD,6,0.4,0.27410612572035664
dnn,NR-AR-LBD,6,0.6,0.6148303448962892
dnn,NR-AR-LBD,6,1,0.7347921095151521
dnn,NR-AR-LBD,7,0.4,-0.007070197687231421
dnn,NR-AR-LBD,7,0.6,0.5604255005517594
dnn,NR-AR-LBD,7,1,0.7503463491434539
dnn,NR-AR-LBD,8,0.4,0.0
dnn,NR-AR-LBD,8,0.6,0.5611407091043306
dnn,NR-AR-LBD,8,1,0.7503463491434539
dnn,NR-AR-LBD,9,0.4,0.0
dnn,NR-AR-LBD,9,0.6,0.6148303448962892
dnn,NR-AR-LBD,9,1,0.7708551385943507
dnn,NR-AR-LBD,10,0.4,-0.007070197687231421
dnn,NR-AR-LBD,10,0.6,0.5770791585966312
dnn,NR-AR-LBD,10,1,0.8507111474365273
dnn,NR-AR-LBD,11,0.4,0.0
dnn,NR-AR-LBD,11,0.6,0.6272199716728326
dnn,NR-AR-LBD,11,1,0.8507111474365273
dnn,NR-AR-LBD,12,0.4,0.0
dnn,NR-AR-LBD,12,0.6,0.5450034937809307
dnn,NR-AR-LBD,12,1,0.7708551385943507
dnn,NR-AR-LBD,13,0.4,0.1268169576736226
dnn,NR-AR-LBD,13,0.6,0.5770791585966312
dnn,NR-AR-LBD,13,1,0.7708551385943507
dnn,NR-AR-LBD,14,0.4,0.27410612572035664
dnn,NR-AR-LBD,14,0.6,0.5951421458499254
dnn,NR-AR-LBD,14,1,0.6707563995521838
dnn,NR-AR-LBD,15,0.4,0.08808227977629128
dnn,NR-AR-LBD,15,0.6,0.5306653835734347
dnn,NR-AR-LBD,15,1,0.7378451636640577
